page|116
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||365,684,155.03|204,574,920.74
收到的税费返还||284,362.82|389,652.21
收到其他与经营活动有关的现金||11,713,113.05|9,149,176.22
经营活动现金流入小计||377,681,630.90|214,113,749.17
购买商品、接受劳务支付的现金||45,820,430.88|23,302,642.49
支付给职工及为职工支付的现金||64,948,657.15|40,779,829.63
支付的各项税费||42,219,889.18|32,113,470.34
支付其他与经营活动有关的现金||18,594,053.29|16,972,499.83
经营活动现金流出小计||171,583,030.50|113,168,442.29
经营活动产生的现金流量净额||206,098,600.40|100,945,306.88
二、投资活动产生的现金流量：|||
page|117
收回投资收到的现金||333,735,624.75|
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||101,950.00|1,064,898.43
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||333,837,574.75|1,064,898.43
购建固定资产、无形资产和其他长期资产支付的现金||205,823,790.10|101,326,582.19
投资支付的现金||470,000,000.00|
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||675,823,790.10|101,326,582.19
投资活动产生的现金流量净额||-341,986,215.35|-100,261,683.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||377,194,853.06|
取得借款收到的现金|||44,400,000.00
收到其他与筹资活动有关的现金||600,000.00|
筹资活动现金流入小计||377,794,853.06|44,400,000.00
偿还债务支付的现金||66,840,000.00|63,560,000.00
分配股利、利润或偿付利息支付的现金||45,714,155.62|4,626,009.63
支付其他与筹资活动有关的现金||17,036,572.77|10,867,773.61
筹资活动现金流出小计||129,590,728.39|79,053,783.24
筹资活动产生的现金流量净额||248,204,124.67|-34,653,783.24
四、汇率变动对现金及现金等价物的影响||71,055.06|-128,377.70
五、现金及现金等价物净增加额||112,387,564.78|-34,098,537.82
加：期初现金及现金等价物余额||21,587,740.92|55,686,278.74
六、期末现金及现金等价物余额||133,975,305.70|21,587,740.92
