page|85
项            目|附注五|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,239,603,149.40|1,178,134,497.59
收到的税费返还||37,887,179.50|96,325,044.45
收到其他与经营活动有关的现金|（五十一）|61,696,291.74|299,343,342.34
经营活动现金流入小计||2,339,186,620.64|1,573,802,884.38
购买商品、接受劳务支付的现金||1,664,396,359.07|1,459,074,751.17
支付给职工以及为职工支付的现金||163,768,856.39|146,910,083.29
支付的各项税费||31,514,698.29|45,580,651.00
支付其他与经营活动有关的现金|（五十一）|96,360,918.39|382,731,720.07
经营活动现金流出小计||1,956,040,832.14|2,034,297,205.53
经营活动产生的现金流量净额||383,145,788.50|-460,494,321.15
二、投资活动产生的现金流量：|||
收回投资收到的现金||60,428,769.00|
取得投资收益收到的现金||5,821,323.94|5,359,325.16
处置固定资产、无形资产和其他长期资产收回的现金净额||298,580.00|13,045.98
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十一）|4,164,457,418.70|4,170,920,804.54
投资活动现金流入小计||4,231,006,091.64|4,176,293,175.68
购建固定资产、无形资产和其他长期资产支付的现金||618,799,656.48|380,415,720.59
投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十一）|4,556,430,000.00|3,625,700,000.00
投资活动现金流出小计||5,175,229,656.48|4,006,115,720.59
投资活动产生的现金流量净额||-944,223,564.84|170,177,455.09
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
page|86
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||86,033,453.75|630,493,275.82
发行债券收到的现金|||
收到其他与筹资活动有关的现金|（五十一）|203,775,154.17|
筹资活动现金流入小计||289,808,607.92|630,493,275.82
偿还债务支付的现金||536,552,100.76|347,609,345.87
分配股利、利润或偿付利息支付的现金||43,473,617.45|19,810,202.44
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（五十一）|13,791,675.60|
筹资活动现金流出小计||593,817,393.81|367,419,548.31
筹资活动产生的现金流量净额||-304,008,785.89|263,073,727.51
四、汇率变动对现金及现金等价物的影响||158,915.19|-422,765.56
五、现金及现金等价物净增加额||-864,927,647.04|-27,665,904.11
加：期初现金及现金等价物余额||1,133,574,235.22|1,161,240,139.33
六、期末现金及现金等价物余额||268,646,588.18|1,133,574,235.22
