page|107
项目|注释|2021 年度|2020 年度
一、营业总收入||3,697,386,523.19|3,213,346,174.94
其中：营业收入|五、39|3,697,386,523.19|3,213,346,174.94
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,477,653,571.13|3,027,272,953.44
其中：营业成本|五、39|2,906,914,297.40|2,523,060,245.41
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任合同准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|五、40|33,671,258.13|32,358,246.59
销售费用|五、41|76,621,213.77|63,794,107.99
管理费用|五、42|234,977,415.03|211,767,985.34
研发费用|五、43|191,857,959.82|161,425,750.04
财务费用|五、44|33,611,426.98|34,866,618.07
其中：利息费用||24,939,617.52|23,850,530.85
利息收入||7,969,770.91|7,246,857.15
加：其他收益|五、45|40,764,674.55|40,771,496.89
投资收益（损失以“－”号填列）|五、46|20,624,778.52|18,586,079.46
其中：对联营企业和合营企业的投资收益||6,164,718.52|7,100,359.83
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|五、47|-65,583,385.21|-12,251,826.53
资产减值损失（损失以“-”号填列）|五、48|-2,528,159.74|-7,043,571.57
资产处置收益（损失以“-”号填列）|五、49|-228,088.62|-184,166.24
page|108
项目|注释|2021 年度|2020 年度
三、营业利润（亏损以“－”号填列）||212,782,771.56|225,951,233.51
加：营业外收入|五、50|2,895,715.79|2,835,235.86
减：营业外支出|五、51|7,675,636.65|2,667,200.25
四、利润总额（亏损总额以“－”号填列）||208,002,850.70|226,119,269.12
减：所得税费用|五、52|11,668,622.41|22,556,494.51
五、净利润（净亏损以“－”号填列）||196,334,228.29|203,562,774.61
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||196,334,228.29|203,562,774.61
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||108,897,338.11|116,673,578.73
2.少数股东损益||87,436,890.18|86,889,195.88
六、其他综合收益的税后净额||4,145,721.25|-22,189,205.31
归属母公司所有者的其他综合收益的税后净额||4,130,482.77|-21,837,436.67
（一）不能重分类进损益的其他综合收益||4,119,085.20|-21,818,135.39
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动||4,119,085.20|-21,818,135.39
4.企业自身信用风险公允价值变动|||
5.其他|||
（二）将重分类进损益的其他综合收益||11,397.57|-19,301.28
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用减值准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额||11,397.57|-19,301.28
7.其他|||
归属于少数股东的其他综合收益的税后净额||15,238.48|-351,768.64
七、综合收益总额||200,479,949.54|181,373,569.30
归属于母公司所有者的综合收益总额||113,027,820.88|94,836,142.06
归属于少数股东的综合收益总额||87,452,128.66|86,537,427.24
八、每股收益：|||
（一）基本每股收益|十五、2|0.27|0.29
（二）稀释每股收益||-|-
