page|110
项目|注释|2021 年度|2020 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,700,138,985.95|3,067,824,776.87
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||38,045,547.44|24,073,483.62
收到其他与经营活动有关的现金|五、53（1）|68,311,310.42|60,115,994.83
经营活动现金流入小计||3,806,495,843.81|3,152,014,255.32
购买商品、接受劳务支付的现金||2,770,603,225.75|2,246,729,236.18
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||442,000,310.43|371,290,899.94
支付的各项税费||144,449,809.75|125,304,465.07
支付其他与经营活动有关的现金|五、53（2）|180,745,263.50|202,587,209.61
经营活动现金流出小计||3,537,798,609.43|2,945,911,810.80
经营活动产生的现金流量净额||268,697,234.38|206,102,444.52
二、投资活动产生的现金流量：|||
page|111
项目|注释|2021 年度|2020 年度
收回投资收到的现金||14,759,546.82|1,332,639.14
取得投资收益收到的现金||14,660,060.00|15,985,719.64
处置固定资产、无形资产和其他长期资产收回的现金净额||281,888.90|2,017,082.28
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||29,701,495.72|19,335,441.06
购建固定资产、无形资产和其他长期资产支付的现金||113,657,579.93|125,278,132.40
投资支付的现金||5,000,000.00|71,585,400.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||63,659,972.03|
支付其他与投资活动有关的现金|五、53（3）|3,510,938.02|
投资活动现金流出小计||185,828,489.98|196,863,532.40
投资活动产生的现金流量净额||-156,126,994.26|-177,528,091.34
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||7,824,000.00|124,879,600.00
其中：子公司吸收少数股东投资收到的现金||7,824,000.00|124,879,600.00
取得借款收到的现金||641,000,000.00|732,710,000.00
收到其他与筹资活动有关的现金|五、53（4）|49,777,539.82|52,643,341.07
筹资活动现金流入小计||698,601,539.82|910,232,941.07
偿还债务支付的现金||611,710,000.00|757,815,000.00
分配股利、利润或偿付利息支付的现金||129,523,134.65|67,218,983.09
其中：子公司支付给少数股东的股利、利润||65,393,327.39|43,245,813.35
支付其他与筹资活动有关的现金|五、53（5）|53,924,762.54|64,062,719.40
筹资活动现金流出小计||795,157,897.19|889,096,702.49
筹资活动产生的现金流量净额||-96,556,357.37|21,136,238.58
四、汇率变动对现金及现金等价物的影响||-11,391,291.69|-16,472,927.79
五、现金及现金等价物净增加额||4,622,591.06|33,237,663.97
加：期初现金及现金等价物余额||886,583,616.94|853,345,952.97
六、期末现金及现金等价物余额||891,206,208.00|886,583,616.94
