page|125
项目|附注八|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||344,303,769.37|232,508,946.75
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||258,572.59|288,193.24
收到其他与经营活动有关的现金|78|50,741,820.36|2,964,341.34
page|126
经营活动现金流入小计||395,304,162.32|235,761,481.33
购买商品、接受劳务支付的现金||73,849,103.86|56,767,949.19
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||87,648,162.12|62,690,338.36
支付的各项税费||38,105,329.58|24,590,921.57
支付其他与经营活动有关的现金|78|90,908,719.08|33,488,412.48
经营活动现金流出小计||290,511,314.64|177,537,621.60
经营活动产生的现金流量净额||104,792,847.68|58,223,859.73
二、投资活动产生的现金流量：|||
收回投资收到的现金||-|20,581,396.76
取得投资收益收到的现金||12,119,709.91|-
处置固定资产、无形资产和其他长期资产收回的现金净额||1,374,909.81|1,398,263.50
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||13,494,619.72|21,979,660.26
购建固定资产、无形资产和其他长期资产支付的现金||167,886,622.60|57,011,204.88
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||167,886,622.60|57,011,204.88
投资活动产生的现金流量净额||-154,392,002.88|-35,031,544.62
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||491,465,756.25|
page|127
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||20,000,000.00|60,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||511,465,756.25|60,000,000.00
偿还债务支付的现金||43,956,833.81|66,060,907.28
分配股利、利润或偿付利息支付的现金||19,803,132.28|49,193,893.96
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|6,660,241.97|
筹资活动现金流出小计||70,420,208.06|115,254,801.24
筹资活动产生的现金流量净额||441,045,548.19|-55,254,801.24
四、汇率变动对现金及现金等价物的影响||-406,354.73|115,186.09
五、现金及现金等价物净增加额||391,040,038.26|-31,947,300.04
加：期初现金及现金等价物余额||58,815,105.12|90,762,405.16
六、期末现金及现金等价物余额||449,855,143.38|58,815,105.12
