page|186
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,601,234,727.96|5,144,622,966.91
收到的税费返还||155,799,210.81|141,287,523.80
收到其他与经营活动有关的现金|五）54|161,836,879.90|106,420,739.71
经营活动现金流入小计||5,918,870,818.67|5,392,331,230.42
购买商品、接受劳务支付的现金||3,960,335,675.34|3,680,868,056.02
支付给职工以及为职工支付的现金||671,961,076.64|640,644,823.23
支付的各项税费||215,289,776.03|185,922,719.64
支付其他与经营活动有关的现金|五）54|404,644,218.60|482,682,805.98
经营活动现金流出小计||5,252,230,746.61|4,990,118,404.87
经营活动产生的现金流量净额||666,640,072.06|402,212,825.55
二、投资活动产生的现金流量：|||
收回投资收到的现金||15,320,164.63|
取得投资收益收到的现金||65,816,941.93|60,754,581.31
处置固定资产、无形资产和其他长期资产收||2,571,170.39|35,947,873.44
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|五）54|20,000,000.00|
投资活动现金流入小计||103,708,276.95|96,702,454.75
购建固定资产、无形资产和其他长期资产支||94,315,205.88|108,893,062.07
付的现金 投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|五）54||20,000,000.00
投资活动现金流出小计||94,315,205.88|128,893,062.07
投资活动产生的现金流量净额||9,393,071.07|-32,190,607.32
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,800,000,000.00|1,550,000,000.00
收到其他与筹资活动有关的现金|五）54|982,381,420.07|680,751,512.59
筹资活动现金流入小计||2,782,381,420.07|2,230,751,512.59
偿还债务支付的现金||1,992,000,000.00|1,854,000,000.00
分配股利、利润或偿付利息支付的现金||85,633,145.53|120,592,829.17
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|五）54|1,136,509,663.76|485,461,874.50
筹资活动现金流出小计||3,214,142,809.29|2,460,054,703.67
筹资活动产生的现金流量净额||-431,761,389.22|-229,303,191.08
四、汇率变动对现金及现金等价物的影响||-16,753,462.01|-530,400.05
五、现金及现金等价物净增加额||227,518,291.90|140,188,627.10
加：期初现金及现金等价物余额||1,082,201,348.23|942,012,721.13
六、期末现金及现金等价物余额||1,309,719,640.13|1,082,201,348.23
