page|184
项             目|附注|本期发生额|上期发生额
一、营业收入|五）39|7,098,162,031.02|6,403,114,682.63
减：营业成本|五）39|6,123,306,926.19|5,400,167,096.37
税金及附加|五）40|42,297,965.78|42,131,138.34
销售费用|五）41|271,497,532.29|384,220,612.91
管理费用|五）42|282,304,748.51|256,448,200.80
研发费用|五）43|251,571,959.52|230,112,447.45
财务费用|五）44|121,497,315.87|94,387,370.80
其中：利息费用||81,070,780.63|102,522,451.95
利息收入||16,851,950.39|15,600,065.25
加：其他收益|五）45|46,062,608.88|72,646,307.22
投资收益（损失以“－”号填列）|五）46|103,474,725.21|127,650,706.47
其中：对联营企业和合营企业的投资收益||103,238,323.38|127,425,561.87
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“－”号填列）|五）47|-6,021,808.94|-93,644,234.20
资产减值损失（损失以“－”号填列）|五）48|-42,413,861.77|-47,093,949.88
资产处置收益（损失以“－”号填列）|五）49|384,776.17|2,880,805.00
二、营业利润（亏损以“－”号填列）||107,172,022.41|58,087,450.57
加：营业外收入|五）50|2,252,688.12|14,835,283.62
减：营业外支出|五）51|4,262,776.72|5,913,877.95
三、利润总额（亏损总额以“－”号填列）||105,161,933.81|67,008,856.24
减：所得税费用|五）52|-78,650.41|5,090,600.15
四、净利润（净亏损以“－”号填列）||105,240,584.22|61,918,256.09
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||105,240,584.22|61,918,256.09
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||100,754,429.96|56,644,111.29
2.少数股东损益（净亏损以“－”号填列）||4,486,154.26|5,274,144.80
五、其他综合收益的税后净额||-2,055,289.74|3,185,597.81
（一）归属母公司股东的其他综合收益的税后净额||-1,976,911.22|3,206,288.33
1.不能重分类进损益的其他综合收益||-301,760.04|-81,375.03
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-301,760.04|-81,375.03
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||-1,675,151.18|3,287,663.36
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备（现金流量套期损益的有效部分）|||
（6）外币财务报表折算差额||-1,675,151.18|3,287,663.36
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-78,378.52|-20,690.52
六、综合收益总额||103,185,294.48|65,103,853.90
（一）归属于母公司股东的综合收益总额||98,777,518.74|59,850,399.62
（二）归属于少数股东的综合收益总额||4,407,775.74|5,253,454.28
七、每股收益|||
（一）基本每股收益||0.0812|0.0457
（二）稀释每股收益||0.0812|0.0457
