page|70
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,599,606,840.69|2,729,276,275.79
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
page|71
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||29,192,593.53|25,685,011.51
收到其他与经营活动有关的现金||143,768,111.41|208,327,472.24
经营活动现金流入小计||4,772,567,545.63|2,963,288,759.54
购买商品、接受劳务支付的现金||2,043,735,305.93|1,396,863,228.97
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,302,096,767.57|1,013,411,174.99
支付的各项税费||200,543,127.47|152,665,694.09
支付其他与经营活动有关的现金||266,437,819.08|255,323,266.60
经营活动现金流出小计||3,812,813,020.05|2,818,263,364.65
经营活动产生的现金流量净额||959,754,525.58|145,025,394.89
二、投资活动产生的现金流量：|||
收回投资收到的现金||14,000,000.00|19,799,875.00
取得投资收益收到的现金||599,172.85|10,373,285.00
处置固定资产、无形资产和其他长期资产收回的现金净额||7,965,150.97|12,137,243.41
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||3,759,000.00|7,645,618.29
投资活动现金流入小计||26,323,323.82|49,956,021.70
购建固定资产、无形资产和其他长期资产支付的现金||947,763,059.59|640,380,939.36
投资支付的现金||264,088,600.00|156,017,261.50
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||7,957,904.26|3,769,000.00
投资活动现金流出小计||1,219,809,563.85|800,167,200.86
投资活动产生的现金流量净额||-1,193,486,240.03|-750,211,179.16
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,263,387,701.64|492,000,000.00
其中：子公司吸收少数股东投资收到的现金||171,400,000.00|302,000,000.00
取得借款收到的现金||2,601,600,000.00|2,604,375,296.98
收到其他与筹资活动有关的现金||557,500,000.00|389,172,000.00
筹资活动现金流入小计||4,422,487,701.64|3,485,547,296.98
偿还债务支付的现金||2,349,480,000.00|2,302,604,048.18
分配股利、利润或偿付利息支付的现金||155,299,444.62|130,365,759.64
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||464,348,359.58|379,392,194.94
筹资活动现金流出小计||2,969,127,804.20|2,812,362,002.76
page|72
筹资活动产生的现金流量净额||1,453,359,897.44|673,185,294.22
四、汇率变动对现金及现金等价物的影响||-1,915,189.85|-8,764,994.24
五、现金及现金等价物净增加额||1,217,712,993.14|59,234,515.71
加：期初现金及现金等价物余额||1,087,801,655.95|1,028,567,140.24
六、期末现金及现金等价物余额||2,305,514,649.09|1,087,801,655.95
