page|68
项目|附 注|2021 年度|2020 年度
一、营业总收入||7,194,148,249.93|4,280,561,779.48
其中：营业收入||7,194,148,249.93|4,280,561,779.48
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,037,139,108.43|4,301,621,514.23
其中：营业成本||4,806,451,224.77|3,330,862,165.54
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||38,607,347.22|26,460,513.97
销售费用||121,413,798.97|99,142,818.44
管理费用||302,430,603.03|248,465,871.36
研发费用||586,888,915.57|428,766,407.67
财务费用||181,347,218.87|167,923,737.25
其中：利息费用||196,226,453.21|165,834,389.42
利息收入||16,857,150.61|10,294,564.31
加：其他收益||62,823,542.52|116,231,190.32
投资收益（损失以“－”号填列）||-75,448,066.74|-3,564,506.42
其中：对联营企业和合营企业的投资收益||-62,677,401.43|1,928,004.36
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||685,834,080.28|4,970,916.11
信用减值损失（损失以“-”号填列）||-35,495,521.49|-20,859,036.03
资产减值损失（损失以“-”号填列）||-60,277,667.84|-113,678,623.20
资产处置收益（损失以“－”号填列）||146,119.31|2,193,770.15
三、营业利润（亏损以“－”号填列）||1,734,591,627.54|-35,766,023.82
加：营业外收入||4,775,251.88|2,604,794.10
减：营业外支出||8,787,921.58|4,554,949.61
四、利润总额（亏损总额以“－”号填列）||1,730,578,957.84|-37,716,179.33
减：所得税费用||212,577,346.90|-15,079,542.76
五、净利润（净亏损以“－”号填列）||1,518,001,610.94|-22,636,636.57
page|69
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,518,001,610.94|-22,636,636.57
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,517,725,588.30|67,597,228.76
2.少数股东损益（净亏损以“-”号填列）||276,022.64|-90,233,865.33
六、其他综合收益的税后净额||9,037,122.60|-484,281.83
（一）归属母公司所有者的其他综合收益的税后净额||9,037,122.60|-484,281.83
1．不能重分类进损益的其他综合收益||9,685,700.54|311,270.88
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||9,685,700.54|311,270.88
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-648,577.94|-795,552.71
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-648,577.94|-795,552.71
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,527,038,733.54|-23,120,918.40
（一）归属于母公司所有者的综合收益总额||1,526,762,710.90|67,112,946.93
（二）归属于少数股东的综合收益总额||276,022.64|-90,233,865.33
八、每股收益：|||
（一）基本每股收益(元/股)||1.13|0.05
（二）稀释每股收益(元/股)||1.13|0.05
