page|61
项目|附 注|2021 年度|2020 年度
一、营业总收入||1,174,734,809.76|847,683,914.13
其中：营业收入||1,174,734,809.76|847,683,914.13
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,206,190,400.39|852,993,293.94
其中：营业成本||1,031,488,223.55|702,994,935.42
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||5,251,221.66|8,883,321.05
销售费用||56,345,450.13|36,331,138.60
管理费用||57,926,470.41|47,322,449.79
研发费用||36,379,351.91|31,481,235.86
财务费用||18,799,682.73|25,980,213.22
其中：利息费用||19,527,925.26|15,463,287.00
利息收入||2,000,779.64|3,883,935.65
加：其他收益||4,374,958.88|13,822,613.90
投资收益（损失以“－”号填列）||5,805,674.25|6,475,499.06
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-3,660,756.29|-327,189.62
信用减值损失（损失以“-”号填列）||-17,304,774.08|3,800,711.75
资产减值损失（损失以“-”号填列）||-13,620,958.67|-9,266,180.27
资产处置收益（损失以“－”号填列）||18,216,430.38|828,520.40
三、营业利润（亏损以“－”号填列）||-37,645,016.16|10,024,595.41
加：营业外收入||341,702.12|884,150.49
减：营业外支出||3,785,833.95|3,078,958.49
四、利润总额（亏损总额以“－”号填列）||-41,089,147.99|7,829,787.41
减：所得税费用||-3,763,928.80|1,568,014.56
五、净利润（净亏损以“－”号填列）||-37,325,219.19|6,261,772.85
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-37,325,219.19|6,261,772.85
page|62
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-35,601,723.73|4,340,861.76
2.少数股东损益（净亏损以“-”号填列）||-1,723,495.46|1,920,911.09
六、其他综合收益的税后净额||-1,695,967.14|-4,622,748.91
（一）归属母公司所有者的其他综合收益的税后净额||-1,695,967.14|-4,643,956.11
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,695,967.14|-4,643,956.11
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,695,967.14|-4,643,956.11
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||21,207.20
七、综合收益总额||-39,021,186.33|1,639,023.94
（一）归属于母公司所有者的综合收益总额||-37,297,690.87|-303,094.35
（二）归属于少数股东的综合收益总额||-1,723,495.46|1,942,118.29
八、每股收益：|||
（一）基本每股收益(元/股)||-0.17|0.02
（二）稀释每股收益(元/股)||-0.17|0.02
