page|121
|||2020年12月31日
||（除另有注明外，金额单位均为人民币百万元）|
||2020年|2019年
|附注七||
||12月31日|12月31日
资产|||
货币资金|||
|1|24,104|24,064
以公允价值计量且其变动|||
计入当期损益的金融资产|2|33,433|27,032
买入返售金融资产|||
|3|55,081|53,038
应收保费|||
|4|36,775|39,292
应收分保账款|||
|5|15,578|16,175
应收分保未到期责任准备金|||
||12,202|10,367
应收分保未决赔款准备金|||
||18,192|17,058
应收分保寿险责任准备金|||
||25|15
应收分保长期健康险责任准备金|||
||4,072|1,534
保户质押贷款|||
|6|5,295|4,508
其他应收款|||
|7|13,893|12,817
定期存款|||
|8|89,016|87,009
可供出售金融资产|||
|9|379,312|316,901
持有至到期投资|||
|10|181,199|140,398
分类为贷款及应收款的投资|||
|11|171,307|182,858
长期股权投资|||
|12|124,840|117,083
存出资本保证金|||
|13|12,994|12,994
投资性房地产|||
|14|13,246|12,445
固定资产|||
|15|33,183|25,636
使用权资产|||
|16|2,942|3,307
无形资产|||
|17|8,123|7,807
递延所得税资产|||
|18|8,491|8,699
其他资产|||
|19|12,158|11,734
资产总计|||
||1,255,461|1,132,771
page|122
|附注七||
||12月31日|12月31日
负债和股东权益|||
负债|||
卖出回购金融资产款|||
|22|85,826|58,263
预收保费|||
||24,048|26,798
应付手续费及佣金|||
||8,177|8,240
应付分保账款|||
||21,296|19,046
应付职工薪酬|||
|23|21,671|18,756
应交税费|||
|24|8,579|8,551
应付赔付款|||
||12,493|10,272
应付保单红利|||
||4,096|3,816
其他应付款|||
|25|17,167|15,622
保户储金及投资款|||
|26|39,338|41,014
未到期责任准备金|||
|27|160,862|160,608
未决赔款准备金|||
|27|162,022|153,920
寿险责任准备金|||
|27|303,046|270,475
长期健康险责任准备金|||
|27|45,031|30,683
保费准备金|||
|28|2,594|2,388
应付债券|||
|29|56,960|48,780
租赁负债|||
|30|2,792|3,051
递延所得税负债|||
|18|1,449|1,486
其他负债|||
|31|4,878|4,163
负债合计|||
||982,325|885,932
股东权益|||
股本|||
|32|44,224|44,224
资本公积|||
|33|7,545|7,516
其他综合收益|||
||17,468|11,783
盈余公积|||
|34|13,319|12,551
一般风险准备|||
|35|13,772|11,885
大灾风险利润准备金|||
|36|793|1,235
未分配利润|||
|37|105,073|93,939
归属于母公司股东权益合计|||
||202,194|183,133
少数股东权益|||
||70,942|63,706
股东权益合计|||
||273,136|246,839
