page|66
项目|附 注|2020 年度|2019 年度
一、营业总收入||2,384,509,836.09|1,431,182,547.41
其中：营业收入||2,384,509,836.09|1,431,182,547.41
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,885,962,852.73|1,252,545,511.70
其中：营业成本||1,668,703,688.20|1,056,682,975.90
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||12,705,080.16|8,675,867.46
销售费用||13,282,417.57|62,680,313.94
管理费用||66,495,955.28|49,196,203.03
研发费用||99,117,523.59|59,508,755.90
财务费用||25,658,187.93|15,801,395.47
其中：利息费用||21,922,751.03|17,555,365.45
利息收入||1,795,692.14|1,105,894.73
加：其他收益||5,825,915.67|4,351,019.84
投资收益（损失以“－”号填列）||-7,858,000.91|590,230.04
其中：对联营企业和合营企业的投资收益||-7,858,000.91|0.00
以摊余成本计量的金融资产终止确认收益|||
page|67
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||74,645,714.41|0.00
信用减值损失（损失以“-”号填列）||112,518.26|-3,964,816.90
资产减值损失（损失以“-”号填列）||-19,681,944.29|-102,231,429.54
资产处置收益（损失以“－”号填列）||-686,934.65|-133,309.12
三、营业利润（亏损以“－”号填列）||550,904,251.85|77,248,730.03
加：营业外收入||227,557.17|163,475.76
减：营业外支出||1,454,920.86|1,096,238.94
四、利润总额（亏损总额以“－”号填列）||549,676,888.16|76,315,966.85
减：所得税费用||92,862,960.01|20,129,186.43
五、净利润（净亏损以“－”号填列）||456,813,928.15|56,186,780.42
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||456,813,928.15|56,186,780.42
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||463,145,848.29|82,923,284.18
2.少数股东损益（净亏损以“-”号填列）||-6,331,920.14|-26,736,503.76
六、其他综合收益的税后净额||779,248.28|27,919.95
（一）归属母公司所有者的其他综合收益的税后净额||779,248.28|27,919.95
1．不能重分类进损益的其他综合收益||1,091,477.00|0.00
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,091,477.00|0.00
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-312,228.72|27,919.95
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-312,228.72|27,919.95
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||457,593,176.43|56,214,700.37
（一）归属于母公司所有者的综合收益总额||463,925,096.57|82,951,204.13
（二）归属于少数股东的综合收益总额||-6,331,920.14|-26,736,503.76
八、每股收益：|||
（一）基本每股收益(元/股)||2.2721|0.4068
（二）稀释每股收益(元/股)||2.2721|0.4068
