page|63
项       目|附注|本期发生额|上期发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,202,608,794.49|4,414,497,809.90
收到的税费返还||15,679,313.22|11,426,160.86
收到其他与经营活动有关的现金|五、（五十八）|111,754,517.65|115,680,373.08
经营活动现金流入小计||5,330,042,625.36|4,541,604,343.84
购买商品、接受劳务支付的现金||3,383,161,978.28|2,647,275,524.34
支付给职工以及为职工支付的现金||803,759,734.64|615,500,764.30
支付的各项税费||223,227,442.32|202,666,357.34
支付其他与经营活动有关的现金|五、（五十八）|459,833,800.74|547,161,343.38
经营活动现金流出小计||4,869,982,955.98|4,012,603,989.36
经营活动产生的现金流量净额||460,059,669.38|529,000,354.48
二、投资活动产生的现金流量：|||
收回投资收到的现金||6,559,086,705.14|5,504,531,378.91
取得投资收益收到的现金||125,332,426.60|59,158,234.11
处置固定资产、无形资产和其他长期资产收回的现金净额||8,493,386.67|31,117,954.36
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||6,692,912,518.41|5,594,807,567.38
购建固定资产、无形资产和其他长期资产支付的现金||204,464,269.74|187,399,117.30
投资支付的现金||6,904,327,860.10|5,623,717,551.74
取得子公司及其他营业单位支付的现金净额|||8,638,974.81
支付其他与投资活动有关的现金|||
投资活动现金流出小计||7,108,792,129.84|5,819,755,643.85
投资活动产生的现金流量净额||-415,879,611.43|-224,948,076.47
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,328,000.00|12,331,400.00
其中：子公司吸收少数股东投资收到的现金||4,328,000.00|12,331,400.00
取得借款收到的现金||1,310,125,664.24|752,172,217.14
page|64
收到其他与筹资活动有关的现金|五、（五十八）|48,000,000.00|140,293,249.99
筹资活动现金流入小计||1,362,453,664.24|904,796,867.13
偿还债务支付的现金||1,288,115,293.85|890,307,878.99
分配股利、利润或偿付利息支付的现金||84,898,683.50|85,629,141.32
其中：子公司支付给少数股东的股利、利润|||1,960,000.00
支付其他与筹资活动有关的现金|五、（五十八）|16,685,077.32|
筹资活动现金流出小计||1,389,699,054.67|975,937,020.31
筹资活动产生的现金流量净额||-27,245,390.43|-71,140,153.18
四、汇率变动对现金及现金等价物的影响||3,452,467.02|-13,986,235.47
五、现金及现金等价物净增加额||20,387,134.54|218,925,889.36
加：期初现金及现金等价物余额||1,393,259,874.17|1,174,333,984.81
六、期末现金及现金等价物余额||1,413,647,008.71|1,393,259,874.17
