page|59
项             目|附注|本期发生额|上期发生额
一、营业收入|五、（四十三）|5,383,476,247.99|4,043,550,073.62
减：营业成本|五、（四十三）|4,201,331,363.99|2,975,830,535.33
page|60
税金及附加|五、（四十四）|32,832,130.74|32,582,256.08
销售费用|五、（四十五）|433,748,624.54|437,701,444.76
管理费用|五、（四十六）|245,478,717.33|236,150,576.60
研发费用|五、（四十七）|189,847,502.88|174,809,629.13
财务费用|五、（四十八）|23,133,331.19|44,503,225.97
其中：利息费用||38,728,482.12|42,425,302.95
利息收入||25,243,986.15|24,893,579.40
加：其他收益|五、（四十九）|48,524,370.51|51,241,131.75
投资收益（损失以“－”号填列）|五、（五十）|74,462,267.74|69,602,926.25
其中：对联营企业和合营企业的投资收益||23,321,105.47|26,673,393.95
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|五、（五十一）|10,150,750.41|6,216,313.51
信用减值损失（损失以“－”号填列）|五、（五十二）|-21,640,980.07|3,333,922.20
资产减值损失（损失以“－”号填列）|五、（五十三）|-19,183,708.57|-18,686,346.94
资产处置收益（损失以“－”号填列）|五、（五十四）|-713,582.58|7,243,415.29
二、营业利润（亏损以“－”号填列）||348,703,694.76|260,923,767.81
加：营业外收入|五、（五十五）|1,128,756.94|5,173,394.81
减：营业外支出|五、（五十六）|3,013,444.26|2,733,390.18
三、利润总额（亏损总额以“－”号填列）||346,819,007.44|263,363,772.44
减：所得税费用|五、（五十七）|32,761,720.49|30,932,684.40
四、净利润（净亏损以“－”号填列）||314,057,286.95|232,431,088.04
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||314,057,286.95|232,431,088.04
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||300,845,683.64|222,513,894.57
2.少数股东损益（净亏损以“－”号填列）||13,211,603.31|9,917,193.47
五、其他综合收益的税后净额||133,344,748.78|295,524,646.90
（一）归属母公司股东的其他综合收益的税后净额||134,450,328.01|297,478,825.33
1.不能重分类进损益的其他综合收益||187,531,126.16|292,359,418.11
（1）重新计量设定受益计划变动额||3,319,324.80|-3,382,759.15
（2）权益法下不能转损益的其他综合收益|||2,275,668.87
（3）其他权益工具投资公允价值变动||184,211,801.36|293,466,508.39
page|61
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益||-53,080,798.15|5,119,407.22
（1）权益法下可转损益的其他综合收益||-70,721.60|-389,356.29
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备（现金流量套期损益的有效部分）|||
（6）外币财务报表折算差额||-53,010,076.55|5,508,763.51
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,105,579.23|-1,954,178.43
六、综合收益总额||447,402,035.73|527,955,734.94
（一）归属于母公司股东的综合收益总额||435,296,011.65|519,992,719.90
（二）归属于少数股东的综合收益总额||12,106,024.08|7,963,015.04
七、每股收益|||
（一）基本每股收益|十五、（二）|0.40|0.30
（二）稀释每股收益||0.40|0.30
