page|61
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,698,795,616.80|2,135,046,521.44
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||8,460,889.20|6,516,131.73
收到其他与经营活动有关的现金|七、78（1）|255,077,135.12|150,244,803.49
经营活动现金流入小计||2,962,333,641.12|2,291,807,456.66
购买商品、接受劳务支付的现金||2,404,017,016.49|1,740,241,704.90
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||115,659,876.11|70,706,216.19
支付的各项税费||90,670,350.03|63,351,108.09
支付其他与经营活动有关的现金|七、78（2）|493,627,796.23|198,217,078.52
经营活动现金流出小计||3,103,975,038.86|2,072,516,107.70
page|62
经 营 活动 产生 的 现金 流量净额||-141,641,397.74|219,291,348.96
二、投资活动产生的现金流量：|||
收回投资收到的现金||9,252,501.39|203,936,203.46
取得投资收益收到的现金||30,484,841.04|1,834,795.74
处置固定资产、无形资产和其他长期资产收回的现金净额||3,820,839.51|287,018.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78（3）|26,858,198.00|58,766,040.00
投资活动现金流入小计||70,416,379.94|264,824,057.20
购建固定资产、无形资产和其他长期资产支付的现金||44,686,068.27|16,821,686.32
投资支付的现金||76,200,904.91|34,721,353.65
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78（4）|9,227,496.00|74,380.85
投资活动现金流出小计||130,114,469.18|51,617,420.82
投 资 活动 产生 的 现金 流量净额||-59,698,089.24|213,206,636.38
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||64,000,000.00|
其中：子公司吸收少数股东投资收到的现金||64,000,000.00|
取得借款收到的现金||526,496,415.59|286,307,776.64
发行债券收到的现金||397,000,000.00|
收到其他与筹资活动有关的现金|七、78（5）|4,611,822.70|31,298,686.99
筹资活动现金流入小计||992,108,238.29|317,606,463.63
偿还债务支付的现金||716,348,525.83|623,788,039.81
分配股利、利润或偿付利息支付的现金||43,110,951.25|46,313,257.28
其中：子公司支付给少数股东的股利、利润||17,765,699.99|6,489,629.40
支付其他与筹资活动有关的现金|七、78（6）|43,108,439.69|
筹资活动现金流出小计||802,567,916.77|670,101,297.09
筹 资 活动 产生 的 现金 流量净额||189,540,321.52|-352,494,833.46
四、汇率变动对现金及现金等价物的影响||-1,861,592.21|-856,483.67
五、现金及现金等价物净增加额||-13,660,757.67|79,146,668.21
加：期初现金及现金等价物余额||333,212,288.90|254,065,620.69
六、期末现金及现金等价物余额||319,551,531.23|333,212,288.90
