page|86
项目|附注|2021 年度|2020 年度
一、营业总收入||1,218,457,439.06|967,589,792.88
其中：营业收入|61|1,218,457,439.06|967,589,792.88
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,108,021,596.80|863,468,463.56
其中：营业成本|61|952,031,637.69|720,244,584.75
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|8,951,290.40|6,374,688.06
销售费用|63|12,755,983.63|31,502,092.79
管理费用|64|60,855,719.80|52,836,484.56
研发费用|65|37,421,550.38|28,047,037.55
财务费用|66|36,005,414.90|24,463,575.85
其中：利息费用||31,535,524.09|28,400,461.34
利息收入||1,638,908.75|4,978,916.60
加：其他收益|67|7,965,166.44|13,226,035.96
page|87
投资收益（损失以“－”号填列）|68|654,286.59|-1,867,147.61
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|1,671,813.00|-437,195.00
信用减值损失（损失以“-”号填列）|71|-262,073.79|-5,675,094.33
资产减值损失（损失以“-”号填列）|72|-14,875,084.01|-9,832,280.49
资产处置收益（损失以“－”号填列）|73|535,086.57|65,879.53
三、营业利润（亏损以“－”号填列）||106,125,037.06|99,601,527.38
加：营业外收入|74|1,951,415.47|114,620.18
减：营业外支出|75|180,158.06|1,030,357.79
四、利润总额（亏损总额以“－”号填列）||107,896,294.47|98,685,789.77
减：所得税费用|76|17,115,884.31|17,704,292.15
五、净利润（净亏损以“－”号填列）||90,780,410.16|80,981,497.62
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||90,780,410.16|80,981,497.62
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||91,832,118.90|81,486,865.68
2.少数股东损益（净亏损以“-”号填列）||-1,051,708.74|-505,368.06
六、其他综合收益的税后净额|77||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|88
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动||103,703.60|-37,265.49
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备||-103,703.60|37,265.49
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||90,780,410.16|80,981,497.62
（一）归属于母公司所有者的综合收益总额||91,832,118.90|81,486,865.68
（二）归属于少数股东的综合收益总额||-1,051,708.74|-505,368.06
八、每股收益：|||
（一）基本每股收益(元/股)||0.52|0.46
（二）稀释每股收益(元/股)||0.52|0.46
