page|101
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||54,241,266,336.59|33,648,892,465.89
客户存款和同业存放款项净增加额||6,554,166,574.02|-4,242,352,895.27
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||7,345,370,494.00|6,016,918,299.86
拆入资金净增加额||200,000,000.00|200,000,000.00
回购业务资金净增加额||-388,721,248.18|-540,899,015.09
代理买卖证券收到的现金净额||1,005,840,380.90|
收到的税费返还||6,526,052.51|
收到其他与经营活动有关的现金|86|6,551,835,488.26|4,730,205,395.33
经营活动现金流入小计||75,516,284,078.10|39,812,764,250.72
购买商品、接受劳务支付的现金||64,726,544,565.68|64,895,435,205.75
客户贷款及垫款净增加额||2,012,015,424.91|3,115,437,548.13
存放中央银行和同业款项净增加额||-800,679,731.89|788,073,570.76
支付原保险合同赔付款项的现金|||
为交易目的而持有的金融资产的净增||3,246,085,322.02|3,349,838,519.73
page|102
加额|||
拆出资金净增加额||513,248,827.93|
支付利息、手续费及佣金的现金||1,346,807,618.45|1,310,666,294.07
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,549,954,054.47|1,284,881,114.48
支付的各项税费||3,574,107,281.29|2,714,100,304.61
支付其他与经营活动有关的现金|86|4,298,439,099.36|1,325,889,858.65
经营活动现金流出小计||80,466,522,462.22|78,784,322,416.18
经营活动产生的现金流量净额||-4,950,238,384.12|-38,971,558,165.46
二、投资活动产生的现金流量：|||
收回投资收到的现金||82,683,114,757.60|54,228,626,409.55
取得投资收益收到的现金||2,387,322,817.16|1,609,521,769.91
处置固定资产、无形资产和其他长期资产收回的现金净额||6,998,027,716.78|856,385,787.23
处置子公司及其他营业单位收到的现金净额||1,554,981,004.88|237,258,223.88
收到其他与投资活动有关的现金|86|23,866,920.61|9,252,341.62
投资活动现金流入小计||93,647,313,217.03|56,941,044,532.19
购建固定资产、无形资产和其他长期资产支付的现金||1,851,196,331.67|1,973,923,837.18
投资支付的现金||101,673,279,631.56|70,360,958,675.73
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||100,000,000.00|1,936,958,026.49
支付其他与投资活动有关的现金|86|3,128,835.30|12,429,082.30
投资活动现金流出小计||103,627,604,798.53|74,284,269,621.70
投资活动产生的现金流量净额||-9,980,291,581.50|-17,343,225,089.51
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,530,758,116.34|10,575,000,000.00
其中：子公司吸收少数股东投资收到的现金||1,273,721,079.41|10,575,000,000.00
取得借款收到的现金||68,333,977,566.49|67,075,138,962.65
发行债券收到的现金||49,999,719,759.97|45,214,343,728.01
收到其他与筹资活动有关的现金|86|12,051,113,842.09|5,133,192,438.22
筹资活动现金流入小计||133,915,569,284.89|127,997,675,128.88
偿还债务支付的现金||103,011,289,820.22|67,624,984,839.00
分配股利、利润或偿付利息支付的现金||8,731,089,021.83|5,954,652,843.80
其中：子公司支付给少数股东的股利、利润||764,408,638.56|71,472,984.48
支付其他与筹资活动有关的现金|86|7,568,886,766.04|2,796,372,591.66
筹资活动现金流出小计||119,311,265,608.09|76,376,010,274.46
筹资活动产生的现金流量净额||14,604,303,676.80|51,621,664,854.42
四、汇率变动对现金及现金等价物的影响||28,077,637.06|84,543,843.68
五、现金及现金等价物净增加额|87|-298,148,651.76|-4,608,574,556.87
加：期初现金及现金等价物余额|87|83,139,495,926.41|87,748,070,483.28
六、期末现金及现金等价物余额|87|82,841,347,274.65|83,139,495,926.41
