page|98
项目|附注七|2019 年度|2018 年度
一、营业总收入||18,032,192,802.35|13,867,027,678.15
其中：营业收入|67|10,440,600,536.33|7,448,683,746.80
利息收入|68|3,040,333,595.13|2,939,457,369.47
已赚保费|||
手续费及佣金收入|69|4,551,258,670.89|3,478,886,561.88
二、营业总成本||12,766,616,538.66|9,678,727,915.15
其中：营业成本|67|5,756,152,520.65|4,089,542,550.41
利息支出|68|1,920,965,259.06|1,695,245,036.47
手续费及佣金支出|69|135,821,089.38|95,677,617.81
退保金|||
赔付支出净额|||
提取保险责任准备金净额||899,996.06|
保单红利支出|||
分保费用|||
税金及附加|70|239,125,329.14|97,699,510.01
销售费用|71|1,912,769,724.63|1,639,380,495.67
管理费用|72|1,476,332,918.10|1,188,367,470.58
研发费用|73|7,791,763.52|5,718,269.19
财务费用|74|1,316,757,938.12|867,096,965.01
其中：利息费用||1,415,891,679.76|856,196,534.64
利息收入||137,152,040.88|79,752,483.20
加：其他收益|75|147,444,270.22|131,223,833.19
投资收益（损失以“－”号填列）|76|2,078,171,471.77|1,667,549,633.01
其中：对联营企业和合营企业的投资||230,770,810.19|
page|99
收益|||
以摊余成本计量的金融资产终止确认收益|||不适用
汇兑收益（损失以“－”号填列）||1,210,547.61|3,351,490.15
净敞口套期收益（损失以“-”号填列）|||不适用
公允价值变动收益（损失以“－”号填列）|78|122,354,982.59|-20,581,146.30
信用减值损失（损失以“-”号填列）|79|-1,490,817,212.04|不适用
资产减值损失（损失以“-”号填列）|80|194,491.68|-913,294,364.23
资产处置收益（损失以“－”号填列）|81|215,455,882.73|263,500,834.99
三、营业利润（亏损以“－”号填列）||6,339,590,698.25|5,320,050,043.81
加：营业外收入|82|90,189,707.29|25,237,775.02
减：营业外支出|83|18,782,801.05|13,145,288.64
四、利润总额（亏损总额以“－”号填列）||6,410,997,604.49|5,332,142,530.19
减：所得税费用|84|1,687,442,917.72|1,393,080,596.15
五、净利润（净亏损以“－”号填列）||4,723,554,686.77|3,939,061,934.04
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||4,723,554,686.77|3,939,061,934.04
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||3,063,526,570.97|3,165,964,775.50
2.少数股东损益（净亏损以“-”号填列）||1,660,028,115.80|773,097,158.54
六、其他综合收益的税后净额||811,935,011.93|-49,353,351.60
（一）归属母公司所有者的其他综合收益的税后净额||721,763,051.94|-149,577,223.26
1．不能重分类进损益的其他综合收益||614,729,491.21|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||614,729,491.21|不适用
（4）企业自身信用风险公允价值变动|||不适用
2．将重分类进损益的其他综合收益||107,033,560.73|-149,577,223.26
（1）权益法下可转损益的其他综合收益||25,370,458.25|
（2）其他债权投资公允价值变动||54,103,268.06|不适用
（3）可供出售金融资产公允价值变动损益||不适用|-226,749,436.65
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益||不适用|
（6）其他债权投资信用减值准备||1,638,680.11|不适用
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||25,921,154.31|77,172,213.39
page|100
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||90,171,959.99|100,223,871.66
七、综合收益总额||5,535,489,698.70|3,889,708,582.44
（一）归属于母公司所有者的综合收益总额||3,785,289,622.91|3,016,387,552.24
（二）归属于少数股东的综合收益总额||1,750,200,075.79|873,321,030.20
八、每股收益：|||
（一）基本每股收益(元/股)|85|0.35|0.35
（二）稀释每股收益(元/股)|85|0.35|0.35
