page|46
项目|附 注|2020 年度|2019 年度
一、营业总收入||913,538,722.30|1,038,244,480.48
其中：营业收入||913,538,722.30|1,038,244,480.48
二、营业总成本||977,605,697.27|1,087,785,687.35
其中：营业成本||865,381,298.10|990,178,742.11
税金及附加||9,348,940.25|9,955,136.55
销售费用||24,998,362.88|26,496,381.27
管理费用||59,837,748.98|51,023,245.27
研发费用||10,513,594.96|8,084,684.79
财务费用||7,525,752.10|2,047,497.36
其中：利息费用||3,833,224.66|3,124,913.29
利息收入||1,101,615.83|2,905,366.15
加：其他收益||6,499,415.73|3,738,655.60
投资收益（损失以“－”号填列）||5,716,502.32|8,369,448.50
其中：对联营企业和合营企业的投资收益||-736,327.44|51,842.41
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||129,714,275.69|-1,987,017.10
信用减值损失（损失以“-”号填列）||4,280,422.11|719,044.32
资产减值损失（损失以“-”号填列）||-37,540,589.43|-24,874,533.34
资产处置收益（损失以“－”号填列）||9,817,208.90|9,073,568.37
三、营业利润（亏损以“－”号填列）||54,420,260.35|-54,502,040.52
加：营业外收入||6,162,745.30|6,972,270.74
减：营业外支出||4,332,066.99|17,525,490.42
四、利润总额（亏损总额以“－”号填列）||56,250,938.66|-65,055,260.20
减：所得税费用||36,810,377.90|1,845,906.50
五、净利润（净亏损以“－”号填列）||19,440,560.76|-66,901,166.70
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||19,440,560.76|-66,901,166.70
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||33,232,333.94|-56,688,934.28
2.少数股东损益（净亏损以“-”号填列）||-13,791,773.18|-10,212,232.42
六、其他综合收益的税后净额|||
七、综合收益总额||19,440,560.76|-66,901,166.70
（一）归属于母公司所有者的综合收益总额||33,232,333.94|-56,688,934.28
（二）归属于少数股东的综合收益总额||-13,791,773.18|-10,212,232.42
八、每股收益：|||
（一）基本每股收益(元/股)||0.0826|-0.1410
（二）稀释每股收益(元/股)||0.0826|-0.1410
