page|43
项目|附 注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||208,737,056.77|119,437,976.43
结算备付金|||
拆出资金|||
交易性金融资产||233,701,158.13|156,102,881.90
衍生金融资产|||
应收票据||1,030,000.00|3,987,751.00
应收账款||89,836,682.85|107,365,868.79
应收款项融资|||
预付款项||34,327,222.80|62,574,783.42
其他应收款||6,389,360.40|9,637,551.25
存货||141,698,744.57|188,844,982.12
合同资产|||
持有待售资产||2,796,928.19|
一年内到期的非流动资产||20,000,000.00|
其他流动资产||89,488,385.25|91,301,792.38
流动资产合计||828,005,538.96|739,253,587.29
非流动资产：|||
发放贷款和垫款|||
债权投资||30,000,000.00|20,000,000.00
其他债权投资|||
长期应收款|||
长期股权投资||23,223,041.59|23,959,369.03
其他权益工具投资||8,471,896.57|8,471,896.57
其他非流动金融资产|||
投资性房地产||25,100,050.15|26,543,670.49
固定资产||102,523,591.28|104,082,220.54
在建工程||108,548,902.03|12,126,722.59
无形资产||151,283,248.89|159,350,068.02
递延所得税资产||4,652,714.79|9,260,911.76
其他非流动资产|||
page|44
非流动资产合计||453,803,445.30|363,794,859.00
资产总计||1,281,808,984.26|1,103,048,446.29
流动负债：|||
应付账款||63,160,632.43|83,058,763.25
预收款项|||101,974,217.21
合同负债||91,875,135.13|
应付职工薪酬||59,635,140.77|55,386,358.21
应交税费||2,549,493.02|3,472,219.02
其他应付款||110,074,054.94|81,363,674.29
一年内到期的非流动负债||25,000,000.00|
其他流动负债||6,333,422.07|
流动负债合计||358,627,878.36|325,255,231.98
非流动负债：|||
保险合同准备金|||
长期借款||120,000,000.00|25,000,000.00
长期应付款||28,003,031.26|28,003,031.26
长期应付职工薪酬|||
预计负债||15,995,591.05|15,364,895.75
递延收益||13,889,902.50|14,734,669.79
递延所得税负债||32,191,402.82|
其他非流动负债|||
非流动负债合计||210,079,927.63|83,102,596.80
负债合计||568,707,805.99|408,357,828.78
所有者权益（或股东权益）：|||
实收资本（或股本）||402,110,702.00|402,110,702.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||147,949,468.57|147,949,468.57
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积||35,913,114.15|27,026,008.43
未分配利润||135,444,967.50|111,099,739.28
归属于母公司所有者权益（或股东权益）合计||721,418,252.22|688,185,918.28
少数股东权益||-8,317,073.95|6,504,699.23
所有者权益（或股东权益）合计||713,101,178.27|694,690,617.51
负债和所有者权益（或股东权益）总计||1,281,808,984.26|1,103,048,446.29
