page|152
项目|附注|本年累计数|上年累计数
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||194,178,182,331.03|177,569,171,584.04
收到的税费返还||2,929,937,311.24|1,807,537,114.84
收到其他与经营活动有关的现金|六、64（1）|13,855,850,867.61|7,087,627,704.12
经营活动现金流入小计||210,963,970,509.88|186,464,336,403.00
购买商品、接受劳务支付的现金||124,326,442,322.95|104,143,136,133.09
支付给职工以及为职工支付的现金||7,666,151,157.81|6,946,973,295.34
支付的各项税费||29,294,576,710.63|23,116,014,788.20
支付其他与经营活动有关的现金|六、64（2）|23,699,788,172.90|24,636,205,531.56
经营活动现金流出小计||184,986,958,364.29|158,842,329,748.19
经营活动产生的现金流量净额|六、65（1）|25,977,012,145.59|27,622,006,654.81
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,027,101,221.04|2,691,637,284.19
取得投资收益收到的现金||200,510,009.11|458,492,858.23
处置固定资产、无形资产和其他长期资产收回的现金净额||4,751,931.90|13,889,775.39
处置子公司及其他营业单位收到的现金净额|六、65（3）|2,342,812,939.27|4,847,586,027.15
收到其他与投资活动有关的现金|六、64（3）|41,399,755,927.61|33,410,701,721.65
投资活动现金流入小计||45,974,932,028.93|41,422,307,666.61
购建固定资产、无形资产和其他长期资产支付的现金||10,007,475,776.92|4,233,413,787.87
投资支付的现金||12,249,864,372.71|9,718,776,271.05
取得子公司及其他营业单位支付的现金净额|六、65（2）|1,439,973,185.95|1,078,284,183.41
支付其他与投资活动有关的现金|六、64（4）|46,554,135,185.50|31,209,809,163.22
投资活动现金流出小计||70,251,448,521.08|46,240,283,405.55
投资活动产生的现金流量净额||-24,276,516,492.15|-4,817,975,738.94
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||27,016,027,436.28|18,897,754,671.39
其中：子公司吸收少数股东投资收到的现金||8,942,397,436.28|9,298,871,425.50
取得借款收到的现金||116,567,829,971.68|112,141,638,255.28
收到其他与筹资活动有关的现金|六、64（5）|43,006,134,994.15|33,149,789,999.49
筹资活动现金流入小计||186,589,992,402.11|164,189,182,926.16
偿还债务支付的现金||113,531,624,468.60|99,624,203,812.33
分配股利、利润或偿付利息支付的现金||15,898,741,775.22|16,297,101,816.11
其中：子公司支付给少数股东的股利、利润||1,791,604,823.18|1,317,290,479.57
支付其他与筹资活动有关的现金|六、64（6）|68,321,019,474.98|56,162,099,815.43
筹资活动现金流出小计||197,751,385,718.80|172,083,405,443.87
筹资活动产生的现金流量净额||-11,161,393,316.69|-7,894,222,517.71
四、汇率变动对现金及现金等价物的影响||-151,576,878.81|-117,257,980.56
五、现金及现金等价物净增加（减少）额||-9,612,474,542.06|14,792,550,417.60
加：年初现金及现金等价物余额||88,995,225,206.88|74,202,674,789.28
六、年末现金及现金等价物余额|六、65（4）|79,382,750,664.82|88,995,225,206.88
