page|149
项目|附注|本年累计数|上年累计数
一、营业收入|六、49|160,643,412,999.94|129,620,818,394.56
减：营业成本|六、49|119,723,490,970.59|92,435,057,066.15
税金及附加|六、50|9,680,548,789.81|9,053,688,057.57
销售费用|六、51|3,914,244,683.91|2,985,602,211.50
管理费用|六、52|2,144,929,660.78|1,979,042,509.32
研发费用|六、53|115,803,508.04|71,417,515.42
财务费用|六、54|2,006,020,942.69|2,223,781,384.84
其中：利息费用|六、54|4,488,220,982.41|4,405,065,423.32
利息收入|六、54|2,604,364,365.51|2,198,981,689.78
加：其他收益|六、55|252,042,410.49|202,132,607.24
投资收益|六、56|3,727,884,616.15|6,107,154,331.13
其中：对联营企业和合营企业的投资收益|六、56|1,672,222,933.63|1,305,326,614.26
以摊余成本计量的金融资产终止确认收益||-|-
公允价值变动收益|六、57|157,136,102.64|7,833,715.29
信用减值利得（损失）|六、58|-1,058,122,488.58|-533,850,206.12
资产减值利得（损失）|六、59|-3,390,914,790.62|-2,570,055,569.49
资产处置收益（损失）|六、60|6,783,015.19|-5,902,306.86
二、营业利润||22,753,183,309.39|24,079,542,220.95
加：营业外收入|六、61|204,352,259.21|149,033,597.20
减：营业外支出|六、62|114,935,955.72|119,142,626.77
三、利润总额||22,842,599,612.88|24,109,433,191.38
减：所得税费用|六、63|7,640,862,538.18|7,196,131,140.76
四、净利润||15,201,737,074.70|16,913,302,050.62
（一）按经营持续性分类|||
1.持续经营净利润||15,201,737,074.70|16,913,302,050.62
2.终止经营净利润||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||10,372,254,168.70|12,252,864,765.28
2.少数股东损益||4,829,482,906.00|4,660,437,285.34
page|150
项目|附注|本年累计数|上年累计数
五、其他综合收益的税后净额|六、45|-203,871,634.33|-318,831,324.84
归属母公司股东的其他综合收益的税后净额||-194,207,923.60|-297,780,484.43
（一）不能重分类进损益的其他综合收益||153,126.92|-98,176.15
1.重新计量设定受益计划变动额||-|-
2.权益法下不能转损益的其他综合收益||-|-
3.其他权益工具投资公允价值变动||153,126.92|-98,176.15
4.企业自身信用风险公允价值变动||-|-
（二）将重分类进损益的其他综合收益||-194,361,050.52|-297,682,308.28
1.权益法下可转损益的其他综合收益||-54,621,432.84|-
2.其他债权投资公允价值变动||-|-
3.金融资产重分类计入其他综合收益的金额||-|-
4.其他债权投资信用减值准备||-|-
5.现金流量套期储备（现金流量套期损益的有效部分）||-|-
6.外币财务报表折算差额||-139,739,617.68|-297,682,308.28
7.其他||-|-
归属于少数股东的其他综合收益的税后净额||-9,663,710.73|-21,050,840.41
六、综合收益总额||14,997,865,440.37|16,594,470,725.78
归属于母公司股东的综合收益总额||10,178,046,245.10|11,955,084,280.85
归属于少数股东的综合收益总额||4,819,819,195.27|4,639,386,444.93
七、每股收益：|||
（一）基本每股收益||1.16|1.46
（二）稀释每股收益||1.16|1.46
