page|114
项目|附 注|2021 年度|2020 年度
一、营业总收入||12,797,806,209.58|10,370,617,536.68
page|115
其中：营业收入||12,797,806,209.58|10,370,617,536.68
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||12,513,842,554.09|10,151,548,459.70
其中：营业成本||10,044,686,698.57|7,233,376,685.40
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||91,016,029.48|94,321,751.60
销售费用||618,271,819.40|1,217,137,117.17
管理费用||688,629,440.13|602,194,684.56
研发费用||486,007,310.65|410,156,048.38
财务费用||585,231,255.86|594,362,172.59
其中：利息费用||645,716,470.14|776,191,506.41
利息收入||58,229,437.72|60,029,194.30
加：其他收益||107,251,954.13|103,830,610.43
投资收益（损失以“－”号填列）||612,112,331.52|25,101,452.62
其中：对联营企业和合营企业的投资收益||65,668,662.96|23,605,664.79
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||241,988,472.82|507,320,409.42
信用减值损失（损失以“-”号填列）||-86,018,660.89|-40,414,466.98
资产减值损失（损失以“-”号填列）||-200,616,717.98|-27,160,081.91
资产处置收益（损失以“－”号填列）||-19,405,969.90|-491,443.36
三、营业利润（亏损以“－”号填列）||939,275,065.19|787,255,557.20
加：营业外收入||15,482,123.45|267,883,975.12
减：营业外支出||33,475,727.07|40,615,734.78
四、利润总额（亏损总额以“－”号填列）||921,281,461.57|1,014,523,797.54
减：所得税费用||370,552,845.40|215,414,650.63
五、净利润（净亏损以“－”号填列）||550,728,616.17|799,109,146.91
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||810,404,033.45|-38,302,351.24
2.终止经营净利润（净亏损以“－”号填列）||-259,675,417.28|837,411,498.15
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||874,057,503.49|415,703,088.58
2.少数股东损益（净亏损以“-”号填列）||-323,328,887.32|383,406,058.33
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
page|116
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||550,728,616.17|799,109,146.91
（一）归属于母公司所有者的综合收益总额||874,057,503.49|415,703,088.58
（二）归属于少数股东的综合收益总额||-323,328,887.32|383,406,058.33
八、每股收益：|||
（一）基本每股收益(元/股)||0.29|0.14
（二）稀释每股收益(元/股)||0.29|0.14
