page|117
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||12,603,449,303.87|11,900,433,482.57
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||270,257,273.41|115,030,655.41
收到其他与经营活动有关的现金||2,572,194,870.12|1,160,940,081.01
经营活动现金流入小计||15,445,901,447.40|13,176,404,218.99
购买商品、接受劳务支付的现金||9,106,910,892.94|7,590,589,324.55
客户贷款及垫款净增加额|||
page|118
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,115,475,736.81|1,392,605,492.61
支付的各项税费||464,209,738.29|759,510,703.92
支付其他与经营活动有关的现金||2,895,570,920.61|2,142,582,904.09
经营活动现金流出小计||13,582,167,288.65|11,885,288,425.17
经营活动产生的现金流量净额||1,863,734,158.75|1,291,115,793.82
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||10,768,131.58|13,609,482.45
处置固定资产、无形资产和其他长期资产收回的现金净额||564,946.80|23,977,718.87
处置子公司及其他营业单位收到的现金净额||746,850,974.13|
收到其他与投资活动有关的现金||46,534,410.15|42,335,941.20
投资活动现金流入小计||804,718,462.66|79,923,142.52
购建固定资产、无形资产和其他长期资产支付的现金||1,112,464,079.03|2,413,287,365.84
投资支付的现金||380,000,000.00|1,470,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||857,244.78|
支付其他与投资活动有关的现金||33,282,961.24|32,199,657.29
投资活动现金流出小计||1,526,604,285.05|2,446,957,023.13
投资活动产生的现金流量净额||-721,885,822.39|-2,367,033,880.61
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||5,050,243,537.31|6,544,810,575.39
收到其他与筹资活动有关的现金||5,158,091,416.42|3,772,123,366.11
筹资活动现金流入小计||10,208,334,953.73|10,316,933,941.50
偿还债务支付的现金||6,567,355,734.56|4,919,122,845.66
分配股利、利润或偿付利息支付的现金||507,606,705.01|649,303,893.30
其中：子公司支付给少数股东的股利、利润||6,907,687.28|113,244,406.01
支付其他与筹资活动有关的现金||5,045,631,998.42|4,464,163,081.77
筹资活动现金流出小计||12,120,594,437.99|10,032,589,820.73
筹资活动产生的现金流量净额||-1,912,259,484.26|284,344,120.77
四、汇率变动对现金及现金等价物的影响||292,617.23|-5,236,289.35
五、现金及现金等价物净增加额||-770,118,530.67|-796,810,255.37
加：期初现金及现金等价物余额||2,859,858,223.35|3,656,668,478.72
六、期末现金及现金等价物余额||2,089,739,692.68|2,859,858,223.35
