page|76
合 并 利 润 表2020年度编制单位：山东胜利股份有限公司单位：人民币元|||
项             目|附注|本期发生额|上期发生额
一、营业收入|五、（三十九）|4,596,360,862.81|5,348,283,403.38
减：营业成本|五、（三十九）|3,818,187,748.92|4,542,511,783.85
税金及附加|五、（四十）|13,422,824.19|14,531,957.39
销售费用|五、（四十一）|225,501,617.90|299,122,038.39
管理费用|五、（四十二）|136,118,169.43|148,528,785.96
研发费用|五、（四十三）|28,135,939.75|19,279,557.41
财务费用|五、（四十四）|87,151,318.74|78,185,696.96
其中：利息费用|五、（四十四）|107,245,888.47|100,623,924.62
利息收入|五、（四十四）|23,443,107.39|25,737,481.90
加：其他收益|五、（四十五）|8,411,707.55|4,183,605.22
投资收益（损失以“－”号填列）|五、（四十六）|28,219,296.81|58,268,685.86
其中：对联营企业和合营企业的投资收益|五、（四十六）|28,219,296.81|56,507,733.15
以摊余成本计量的金融资产终止确认收益（损失以“－”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|五、（四十七）|35,031,762.00|-4,886,327.08
信用减值损失（损失以“－”号填列）|五、（四十八）|-3,362,290.95|478,607.70
资产减值损失（损失以“－”号填列）|五、（四十九）|-58,897,201.05|-18,705,697.80
资产处置收益（损失以“－”号填列）|五、（五十）|7,269,121.20|718,169.60
二、营业利润（亏损以“－”号填列）||304,515,639.44|286,180,626.92
加：营业外收入|五、（五十一）|3,512,401.35|4,901,006.17
减：营业外支出|五、（五十二）|10,474,874.76|2,999,378.59
三、利润总额（亏损总额以“－”号填列）||297,553,166.03|288,082,254.50
减：所得税费用|五、（五十三）|81,916,930.90|84,128,378.82
四、净利润（净亏损以“－”号填列）||215,636,235.13|203,953,875.68
（一）按经营持续性分类：|||
1.持续经营净利润（净亏损以“－”号填列）||215,638,794.57|206,299,223.33
2.终止经营净利润（净亏损以“－”号填列）||-2,559.44|-2,345,347.65
（二）按所有权归属分类：|||
1.归属于母公司股东的净利润（净亏损以“－”号填列）||142,314,776.28|133,427,291.24
2.少数股东损益（净亏损以“－”号填列）||73,321,458.85|70,526,584.44
五、其他综合收益的税后净额||-19,289,524.88|335,580.78
（一）归属母公司股东的其他综合收益的税后净额||-19,289,524.88|335,580.78
1.不能重分类进损益的其他综合收益||-19,289,524.88|335,580.78
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-19,289,524.88|335,580.78
（4）企业自身信用风险公允价值变动|||
2.将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备（现金流量套期损益的有效部分）|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
六、综合收益总额||196,346,710.25|204,289,456.46
（一）归属于母公司股东的综合收益总额||123,025,251.40|133,762,872.02
（二）归属于少数股东的综合收益总额||73,321,458.85|70,526,584.44
七、每股收益|||
（一）基本每股收益||0.16|0.15
（二）稀释每股收益||0.16|0.15
