page|70
项目|附 注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||2,652,777,680.37|2,027,903,901.65
结算备付金|||
拆出资金|||
交易性金融资产||15,079,135.60|
以公允价值计量且其变动计入当期损益的金融资产|||308,090,109.80
衍生金融资产|||
应收票据|||18,907,090.30
应收账款||160,060,935.58|157,395,782.59
应收款项融资||41,347,624.78|
预付款项||266,496,614.96|308,608,489.66
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||81,527,340.24|439,295,427.77
其中：应收利息|||89,320.40
应收股利||14,193.64|100,719.35
买入返售金融资产|||
存货||1,309,651,505.18|1,121,848,260.76
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||148,029,590.53|130,255,602.15
流动资产合计||4,674,970,427.24|4,512,304,664.68
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||323,940,105.63
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||62,131,869.69|61,368,318.38
其他权益工具投资||303,121,093.90|
其他非流动金融资产|||
投资性房地产|||
固定资产||2,579,012,394.41|2,539,690,139.33
在建工程||73,499,050.08|124,118,581.18
生产性生物资产||22,514,583.93|23,882,164.18
油气资产|||
使用权资产|||
page|71
无形资产||612,492,118.84|680,514,426.57
开发支出|||
商誉|||24,847,674.36
长期待摊费用||4,222,330.82|4,926,523.82
递延所得税资产||14,038,706.06|13,030,622.69
其他非流动资产||16,965,843.20|44,554,953.57
非流动资产合计||3,687,997,990.93|3,840,873,509.71
资产总计||8,362,968,418.17|8,353,178,174.39
流动负债：|||
短期借款||3,929,261,113.00|3,699,699,695.12
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据||118,200,000.00|100,500,000.00
应付账款||335,193,910.80|301,718,881.62
预收款项||252,999,788.74|242,039,850.91
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||34,237,984.26|36,571,694.56
应交税费||305,673,886.51|504,190,520.43
其他应付款||329,821,574.59|226,405,756.23
其中：应付利息|||
应付股利||473,309.97|473,309.97
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||157,155,123.34|178,613,321.17
其他流动负债||25,578,910.09|22,095,445.80
流动负债合计||5,488,122,291.33|5,311,835,165.84
非流动负债：|||
保险合同准备金|||
长期借款||60,638,348.79|93,113,223.35
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||14,156,529.98|32,588,627.66
长期应付职工薪酬||361,543.60|521,178.57
预计负债|||
递延收益||87,786,767.64|89,531,202.59
递延所得税负债||89,843,558.62|91,823,281.00
其他非流动负债|||
非流动负债合计||252,786,748.63|307,577,513.17
page|72
负债合计||5,740,909,039.96|5,619,412,679.01
所有者权益（或股东权益）：|||
实收资本（或股本）||1,672,000,000.00|1,672,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||187,499,746.10|218,322,182.36
减：库存股||167,208,802.35|97,679,479.13
其他综合收益||-22,309,806.46|513,437.48
专项储备|||
盈余公积||210,003,426.39|201,602,407.86
一般风险准备|||
未分配利润||584,092,840.54|507,322,026.50
归属于母公司所有者权益（或股东权益）合计||2,464,077,404.22|2,502,080,575.07
少数股东权益||157,981,973.99|231,684,920.31
所有者权益（或股东权益）合计||2,622,059,378.21|2,733,765,495.38
负债和所有者权益（或股东权益）总计||8,362,968,418.17|8,353,178,174.39
