page|114
项目|附注|2020年度|2019年度(重述)
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||19,026,318,611.23|17,499,282,583.90
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||10,944,547.47|4,352,633.10
收到其他与经营活动有关的现金|七、80|518,901,611.30|1,531,687,649.36
经营活动现金流入小计||19,556,164,770.00|19,035,322,866.36
购买商品、接受劳务支付的现金||9,656,716,180.19|11,030,531,045.71
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,796,661,246.19|1,466,318,904.33
支付的各项税费||43,241,485.85|127,206,780.52
支付其他与经营活动有关的现金|七、80|494,838,122.04|1,727,600,727.58
经营活动现金流出小计||11,991,457,034.27|14,351,657,458.14
经营活动产生的现金流量净额||7,564,707,735.73|4,683,665,408.22
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||377,660,645.13|151,170,184.88
处置固定资产、无形资产和其他长期资产收回的现金净额||173,982,753.73|548,755,091.47
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、80|142,582,863.65|106,841,877.14
page|115
投资活动现金流入小计||694,226,262.51|806,767,153.49
购建固定资产、无形资产和其他长期资产支付的现金||1,363,276,599.96|3,928,291,354.73
投资支付的现金|||229,928,201.19
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、80|6,961,359,060.24|303,619,785.00
投资活动现金流出小计||8,324,635,660.20|4,461,839,340.92
投资活动产生的现金流量净额||-7,630,409,397.69|-3,655,072,187.43
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||3,973,909,640.80
其中：子公司吸收少数股东投资收到的现金|||378,882,151.10
取得借款收到的现金||14,333,722,650.00|8,319,666,975.00
收到其他与筹资活动有关的现金|||48,358,100.00
筹资活动现金流入小计||14,333,722,650.00|12,341,934,715.80
偿还债务支付的现金||9,590,313,856.32|9,684,249,450.52
分配股利、利润或偿付利息支付的现金||1,231,566,386.80|1,306,261,567.17
其中：子公司支付给少数股东的股利、利润||7,896,004.11|1,582,712.31
支付其他与筹资活动有关的现金|七、80|161,334,191.83|199,008,912.24
筹资活动现金流出小计||10,983,214,434.95|11,189,519,929.93
筹资活动产生的现金流量净额||3,350,508,215.05|1,152,414,785.87
四、汇率变动对现金及现金等价物的影响||-325,217,025.65|30,079,215.96
五、现金及现金等价物净增加额|七、81|2,959,589,527.44|2,211,087,222.62
加：期初现金及现金等价物余额||6,297,405,442.59|4,086,318,219.97
六、期末现金及现金等价物余额||9,256,994,970.03|6,297,405,442.59
