page|110
项目|附注|2020 年度|2019 年度(重述)
一、营业总收入|七、63|18,072,932,622.13|18,609,358,690.57
其中：营业收入|七、63|18,072,932,622.13|18,609,358,690.57
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|七、63|14,822,409,362.85|16,566,658,833.37
其中：营业成本|七、63|13,472,935,316.91|14,999,775,235.11
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、64|15,744,606.33|17,031,358.00
销售费用|七、65|37,788,579.26|48,428,713.90
管理费用|七、66|778,233,107.61|567,519,146.49
研发费用|七、67|1,712,109.47|23,557,939.11
财务费用|七、68|515,995,643.27|910,346,440.76
其中：利息费用|七、68|675,614,989.88|1,040,956,895.73
利息收入|七、68|216,489,587.45|151,315,669.70
加：其他收益|七、69|29,060,405.37|33,461,241.42
投资收益（损失以“－”号填列）|七、70|694,872,386.79|436,860,679.73
其中：对联营企业和合营企业的投资收益|七、70|694,872,386.79|436,860,679.73
page|111
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、73|125,276.01|2,691,299.72
资产减值损失（损失以“-”号填列）|七、74|-1,002,767,751.39|-541,034,135.92
资产处置收益（损失以“－”号填列）|七、75|11,113,346.25|31,480,196.80
三、营业利润（亏损以“－”号填列）||2,982,926,922.31|2,006,159,138.95
加：营业外收入|七、76|1,827,709.18|7,772,026.55
减：营业外支出|七、77|33,316,722.77|15,813,768.66
四、利润总额（亏损总额以“－”号填列）||2,951,437,908.72|1,998,117,396.84
减：所得税费用|七、78|139,523,896.63|51,839,286.85
五、净利润（净亏损以“－”号填列）||2,811,914,012.09|1,946,278,109.99
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||2,811,914,012.09|1,946,278,109.99
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||2,777,489,422.93|1,932,766,598.72
2.少数股东损益（净亏损以“-”号填列）||34,424,589.16|13,511,511.27
六、其他综合收益的税后净额|七、58|-1,497,936,351.93|168,040,832.44
（一）归属母公司所有者的其他综合收益的税后净额||-1,498,293,371.36|168,450,537.80
1．不能重分类进损益的其他综合收益|||2,036,930.90
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||2,036,930.90
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,498,293,371.36|166,413,606.90
（1）权益法下可转损益的其他||-109,628,062.22|-126,827,364.37
page|112
综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,388,665,309.14|293,240,971.27
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||357,019.43|-409,705.36
七、综合收益总额||1,313,977,660.16|2,114,318,942.43
（一）归属于母公司所有者的综合收益总额||1,279,196,051.57|2,101,217,136.52
（二）归属于少数股东的综合收益总额||34,781,608.59|13,101,805.91
八、每股收益：|||
（一）基本每股收益(元/股)||0.41|0.32
（二）稀释每股收益(元/股)||0.41|0.32
