page|71
||2021 年 12 月 31 日||
编制单位：深圳市德赛电池科技股份有限公司||||（除特别注明外，金额单位均为人民币元）
资 产|附注六|期末余额|期初余额|上期期末余额
流动资产：||||
货币资金|注释 1|271,024,564.17|551,703,695.74|551,703,695.74
交易性金融资产||-|-|-
衍生金融资产||-|-|-
应收票据|注释 2|12,239,628.94|13,966,727.54|13,966,727.54
应收账款|注释 3|5,150,216,628.06|4,643,767,736.17|4,643,767,736.17
应收款项融资|注释 4|1,000,000.00|45,639,248.84|45,639,248.84
预付款项|注释 5|40,445,935.96|25,975,372.95|25,975,372.95
其他应收款|注释 6|120,465,648.65|146,003,303.49|146,003,303.49
存货|注释 7|2,583,065,690.63|1,699,323,174.99|1,699,323,174.99
合同资产||-|-|-
持有待售资产||-|-|-
一年内到期的非流动资产||-|-|-
其他流动资产|注释 8|72,591,578.99|44,251,126.95|44,251,126.95
流动资产合计||8,251,049,675.40|7,170,630,386.67|7,170,630,386.67
非流动资产：||||
债权投资||-|-|-
其他债权投资||-|-|-
长期应收款||-|-|-
长期股权投资|注释 9|15,518,568.30|19,335,596.12|19,335,596.12
其他权益工具投资|注释 10|38,500,000.00|-|-
其他非流动金融资产|注释 11|36,793,578.34|-|-
投资性房地产||-|-|-
固定资产|注释 12|852,465,458.46|927,369,076.05|927,369,076.05
在建工程|注释 13|624,972,830.05|231,555,625.02|231,555,625.02
生产性生物资产||-|-|-
油气资产||-|-|-
使用权资产|注释 14|47,242,095.45|43,749,994.83|-
无形资产|注释 15|237,516,188.24|215,929,423.23|215,929,423.23
开发支出||-|-|-
商誉||-|-|-
长期待摊费用|注释 16|404,793,703.35|257,253,601.16|257,253,601.16
递延所得税资产|注释 17|133,449,916.61|126,189,692.45|126,189,692.45
其他非流动资产|注释 18|134,635,467.77|91,027,522.52|91,027,522.52
非流动资产合计||2,525,887,806.57|1,912,410,531.38|1,868,660,536.55
资产总计||10,776,937,481.97|9,083,040,918.05|9,039,290,923.22
page|72
|||深圳市德赛电池科技股份有限公司 2021 年年度报告全文|
||合并资产负债表（续）||
||2021 年 12 月 31 日||
编制单位：深圳市德赛电池科技股份有限公司||||（除特别注明外，金额单位均为人民币元）
负债和股东权益|附注六|期末余额|期初余额|上期期末余额
流动负债：||||
短期借款|注释 19|587,366,304.55|525,500,357.78|525,500,357.78
交易性金融负债||-|-|-
衍生金融负债||-|-|-
应付票据|注释 20|173,543,961.25|170,927,981.12|170,927,981.12
应付账款|注释 21|4,968,013,834.71|4,289,022,373.29|4,289,022,373.29
预收款项||-|-|-
合同负债|注释 22|5,507,432.59|2,893,365.70|2,893,365.70
应付职工薪酬|注释 23|416,219,584.78|391,900,508.29|391,900,508.29
应交税费|注释 24|95,416,217.14|87,246,303.38|87,246,303.38
其他应付款|注释 25|64,027,057.02|91,844,328.37|91,844,328.37
持有待售负债||-|-|-
一年内到期的非流动负债|注释 26|182,886,828.80|473,253,821.95|458,000,000.00
其他流动负债|注释 27|5,154,612.92|10,360,918.44|10,360,918.44
流动负债合计||6,498,135,833.76|6,042,949,958.32|6,027,696,136.37
非流动负债：||||
长期借款|注释 28|784,868,732.06|163,773,566.24|163,773,566.24
应付债券||-|-|-
其中：优先股||-|-|-
永续债||-|-|-
租赁负债|注释 29|22,570,604.23|28,496,172.88|-
长期应付款||-|-|-
长期应付职工薪酬||-|-|-
预计负债||-|-|-
递延收益|注释 30|19,479,976.77|13,837,958.86|13,837,958.86
递延所得税负债|注释 17|22,541,230.74|11,651,371.13|11,651,371.13
其他非流动负债||-|-|-
非流动负债合计||849,460,543.80|217,759,069.11|189,262,896.23
负债合计||7,347,596,377.56|6,260,709,027.43|6,216,959,032.60
股东权益：||||
股本|注释 31|300,298,970.00|207,197,738.00|207,197,738.00
其他权益工具||-|-|-
其中：优先股||-|-|-
永续债||-|-|-
资本公积|注释 32|163,388,745.53|151,932,192.13|151,932,192.13
减：库存股|注释 33|15,727,356.26|28,118,060.00|28,118,060.00
其他综合收益|注释 34|(4,736,484.87)|(3,291,097.75)|(3,291,097.75)
专项储备||-|-|-
盈余公积|注释 35|127,199,190.36|106,986,815.87|106,986,815.87
未分配利润|注释 36|2,858,918,039.65|2,394,894,194.71|2,394,894,194.71
归属于母公司股东权益合计||3,429,341,104.41|2,829,601,782.96|2,829,601,782.96
少数股东权益|||(7,269,892.34)|(7,269,892.34)
股东权益合计||3,429,341,104.41|2,822,331,890.62|2,822,331,890.62
负债和股东权益总计||10,776,937,481.97|9,083,040,918.05|9,039,290,923.22
