page|74
|2021 年度||
编制单位：深圳市德赛电池科技股份有限公司|||（除特别注明外，金额单位均为人民币元）
项 目|附注六|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||19,614,303,253.93|18,965,025,502.94
收到的税费返还||256,025,640.93|223,840,785.43
收到其他与经营活动有关的现金|注释 52|270,261,814.91|428,224,640.95
经营活动现金流入小计||20,140,590,709.77|19,617,090,929.32
购买商品、接受劳务支付的现金||17,893,295,799.98|16,669,135,147.67
支付给职工以及为职工支付的现金||1,232,481,940.32|1,059,797,980.91
支付的各项税费||204,424,216.37|258,133,375.38
支付其他与经营活动有关的现金|注释 52|329,979,232.73|347,866,534.36
经营活动现金流出小计||19,660,181,189.40|18,334,933,038.32
经营活动产生的现金流量净额||480,409,520.37|1,282,157,891.00
二、投资活动产生的现金流量：|||
收回投资所收到的现金||-|-
取得投资收益收到的现金||4,731,536.59|16,645,005.33
处置固定资产、无形资产和其他长期资产收回|||
||690,728.01|6,992,766.05
的现金净额|||
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金|注释 52|2,260,270,000.00|5,459,584,925.00
投资活动现金流入小计||2,265,692,264.60|5,483,222,696.38
购建固定资产、无形资产和其他长期资产支付|||
||729,961,851.60|674,461,761.39
的现金|||
投资支付的现金||63,500,000.00|20,000,000.00
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金|注释 52|2,260,470,000.00|5,189,014,925.00
投资活动现金流出小计||3,053,931,851.60|5,883,476,686.39
投资活动产生的现金流量净额||(788,239,587.00)|(400,253,990.01)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||2,809,309,662.06|1,359,882,123.68
收到其他与筹资活动有关的现金|注释 52|5,073,290.61|103,744,051.75
筹资活动现金流入小计||2,814,382,952.67|1,463,626,175.43
偿还债务支付的现金||2,373,901,663.98|1,261,530,683.50
分配股利、利润或偿付利息支付的现金||354,616,819.01|605,577,982.66
其中：子公司支付给少数股东的股利、利润||-|200,000,000.00
支付其他与筹资活动有关的现金|注释 52|24,855,041.83|447,213,966.98
筹资活动现金流出小计||2,753,373,524.82|2,314,322,633.14
筹资活动产生的现金流量净额||61,009,427.85|(850,696,457.71)
四、汇率变动对现金及现金等价物的影响||(6,665,131.46)|(19,453,597.46)
五、现金及现金等价物净增加额||(253,485,770.24)|11,753,845.82
加：期初现金及现金等价物余额||477,021,569.13|465,267,723.31
六、期末现金及现金等价物余额|注释 53|223,535,798.89|477,021,569.13
