page|77
项目|附注七|2020 年度|2019 年度
一、营业总收入||1,095,965,281.95|556,346,825.08
其中：营业收入|61|1,095,965,281.95|556,346,825.08
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,001,918,536.82|512,550,157.48
其中：营业成本|61|967,619,987.08|478,136,960.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|874,615.38|1,113,594.17
销售费用|63|3,594,097.51|2,474,060.87
管理费用|64|21,168,894.41|25,740,850.34
研发费用||-|-
财务费用|66|8,660,942.44|5,084,692.01
其中：利息费用||8,835,648.70|4,917,328.82
利息收入||322,771.21|43,214.79
加：其他收益|67|15,827.82|1,085.33
投资收益（损失以“－”号填列）|68|-1,139,546.93|-2,310,829.09
其中：对联营企业和合营企业的投资收益||-1,139,546.93|-2,310,829.09
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|70|28,618,285.63|-2,881,357.25
信用减值损失（损失以“-”号填列）|71|-11,225,045.30|-1,360,708.62
资产减值损失（损失以“-”号填列）|72|-12,976,144.34|-1,035,746.37
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||97,340,122.01|36,209,111.60
加：营业外收入|74|4,510,738.10|2,247,181.88
减：营业外支出|75|239,007.26|259,122.57
四、利润总额（亏损总额以“－”号填列）||101,611,852.85|38,197,170.91
page|78
减：所得税费用|76|40,673,844.15|13,937,314.83
五、净利润（净亏损以“－”号填列）||60,938,008.70|24,259,856.08
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||60,938,008.70|24,259,856.08
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||57,941,840.63|19,168,865.80
2.少数股东损益（净亏损以“-”号填列）||2,996,168.07|5,090,990.28
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||60,938,008.70|24,259,856.08
（一）归属于母公司所有者的综合收益总额||57,941,840.63|19,168,865.80
（二）归属于少数股东的综合收益总额||2,996,168.07|5,090,990.28
八、每股收益：|||
（一）基本每股收益(元/股)|附注十八.2|0.14|0.05
（二）稀释每股收益(元/股)|附注十八.2|0.14|0.05
