page|80
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||754,376,803.80|598,850,933.43
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,137,090.25|
page|81
收到其他与经营活动有关的现金|78|81,134,301.33|119,836,888.54
经营活动现金流入小计||837,648,195.38|718,687,821.97
购买商品、接受劳务支付的现金||778,826,334.91|504,798,455.72
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||22,853,229.16|20,375,840.36
支付的各项税费||22,653,029.83|17,276,748.74
支付其他与经营活动有关的现金|78|58,598,080.73|132,494,063.31
经营活动现金流出小计||882,930,674.63|674,945,108.13
经营活动产生的现金流量净额||-45,282,479.25|43,742,713.84
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计|||
购建固定资产、无形资产和其他长期资产支付的现金||24,000.00|
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||30,518,566.29
支付其他与投资活动有关的现金|78||5,850,000.00
投资活动现金流出小计||24,000.00|36,368,566.29
投资活动产生的现金流量净额||-24,000.00|-36,368,566.29
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
page|82
取得借款收到的现金||117,400,000.00|126,000,000.00
收到其他与筹资活动有关的现金|78|615,775,116.56|306,153,040.19
筹资活动现金流入小计||733,175,116.56|432,153,040.19
偿还债务支付的现金||151,552,597.91|61,950,402.54
分配股利、利润或偿付利息支付的现金||5,515,064.25|2,693,752.34
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|600,589,653.49|325,470,038.15
筹资活动现金流出小计||757,657,315.65|390,114,193.03
筹资活动产生的现金流量净额||-24,482,199.09|42,038,847.16
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-69,788,678.34|49,412,994.71
加：期初现金及现金等价物余额||92,848,513.42|43,435,518.71
六、期末现金及现金等价物余额||23,059,835.08|92,848,513.42
