page|80
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,339,701,760.45|1,420,505,078.54
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||152,885.26|129,187.07
收到其他与经营活动有关的||41,699,751.33|38,844,642.64
page|81
现金|||
经营活动现金流入小计||1,381,554,397.04|1,459,478,908.25
购买商品、接受劳务支付的现金||588,912,103.58|743,234,874.53
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||245,197,642.57|266,097,938.15
支付的各项税费||72,088,272.46|104,864,749.23
支付其他与经营活动有关的现金||359,870,399.78|370,078,200.85
经营活动现金流出小计||1,266,068,418.39|1,484,275,762.76
经营活动产生的现金流量净额||115,485,978.65|-24,796,854.51
二、投资活动产生的现金流量：|||
收回投资收到的现金||641,610,000.00|1,000,900,000.00
取得投资收益收到的现金||7,100,732.24|8,904,915.58
处置固定资产、无形资产和其他长期资产收回的现金净额||464,585.18|326,505.53
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||649,175,317.42|1,010,131,421.11
购建固定资产、无形资产和其他长期资产支付的现金||48,081,889.97|83,284,744.15
投资支付的现金||578,780,445.00|990,510,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||3,000,000.00
支付其他与投资活动有关的现金|||
投资活动现金流出小计||626,862,334.97|1,076,794,744.15
投资活动产生的现金流量净额||22,312,982.45|-66,663,323.04
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||55,485.00|
其中：子公司吸收少数股东投资收到的现金||55,485.00|
取得借款收到的现金||70,000,000.00|133,340,000.00
收到其他与筹资活动有关的现金|||
page|82
筹资活动现金流入小计||70,055,485.00|133,340,000.00
偿还债务支付的现金||160,000,000.00|43,340,000.00
分配股利、利润或偿付利息支付的现金||27,512,226.26|27,175,050.61
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||187,512,226.26|70,515,050.61
筹资活动产生的现金流量净额||-117,456,741.26|62,824,949.39
四、汇率变动对现金及现金等价物的影响||158,941.46|309,177.62
五、现金及现金等价物净增加额||20,501,161.30|-28,326,050.54
加：期初现金及现金等价物余额||103,074,403.09|131,400,453.63
六、期末现金及现金等价物余额||123,575,564.39|103,074,403.09
