page|66
项目|附 注|2019 年度|2018 年度
一、营业总收入||1,431,182,547.41|1,185,323,787.75
其中：营业收入||1,431,182,547.41|1,185,323,787.75
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,252,545,511.70|1,036,576,422.05
其中：营业成本||1,056,682,975.90|892,159,573.77
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||8,675,867.46|6,006,119.75
销售费用||62,680,313.94|61,472,773.87
管理费用||49,196,203.03|33,872,206.37
研发费用||59,508,755.90|46,584,403.75
财务费用||15,801,395.47|-3,518,655.46
其中：利息费用||17,555,365.45|1,941,106.15
page|67
利息收入||1,105,894.73|1,281,615.32
加：其他收益||4,351,019.84|1,705,238.82
投资收益（损失以“－”号填列）||590,230.04|4,140,118.74
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-3,964,816.90|0.00
资产减值损失（损失以“-”号填列）||-102,231,429.54|-5,855,012.98
资产处置收益（损失以“－”号填列）||-133,309.12|-29,647.58
三、营业利润（亏损以“－”号填列）||77,248,730.03|148,708,062.70
加：营业外收入||163,475.76|5,201.53
减：营业外支出||1,096,238.94|501,509.93
四、利润总额（亏损总额以“－”号填列）||76,315,966.85|148,211,754.30
减：所得税费用||20,129,186.43|21,064,264.40
五、净利润（净亏损以“－”号填列）||56,186,780.42|127,147,489.90
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||56,186,780.42|127,147,489.90
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||82,923,284.18|124,819,322.34
2.少数股东损益（净亏损以“-”号填列）||-26,736,503.76|2,328,167.56
六、其他综合收益的税后净额||27,919.95|-26,022.29
（一）归属母公司所有者的其他综合收益的税后净额||27,919.95|-26,022.29
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||27,919.95|-26,022.29
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||27,919.95|-26,022.29
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||56,214,700.37|127,121,467.61
（一）归属于母公司所有者的综合收益总额||82,951,204.13|124,793,300.05
（二）归属于少数股东的综合收益总额||-26,736,503.76|2,328,167.56
page|68
八、每股收益：|||
（一）基本每股收益(元/股)||0.5695|0.8573
（二）稀释每股收益(元/股)||0.5695|0.8573
