page|120
项目|附注七|2021 年度|2020 年度
一、营业总收入||13,032,547.17|7,019,097.51
其中：营业收入|61|13,032,547.17|7,019,097.51
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||175,522,277.01|341,230,339.90
其中：营业成本|61|8,813.80|4,125.04
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|155,008.40|27,675.90
销售费用|||
管理费用|64|19,905,423.71|258,313,162.47
研发费用|65|156,840,885.43|85,032,692.67
财务费用|66|-1,387,854.33|-2,147,316.18
其中：利息费用||138,145.10|397,929.19
利息收入||1,531,175.63|2,553,656.67
加：其他收益|67|17,091,660.12|289,298.48
投资收益（损失以“－”号填列）|||2,075,183.53
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|71|-150,174.60|2,222,613.06
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||-145,548,244.32|-329,624,147.32
加：营业外收入|74|626,847.00|
page|121
减：营业外支出|||516,734.72
四、利润总额（亏损总额以“－”号填列）||-144,921,397.32|-330,140,882.04
减：所得税费用|||
五、净利润（净亏损以“－”号填列）||-144,921,397.32|-330,140,882.04
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-144,921,397.32|-330,140,882.04
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-144,921,397.32|-330,121,118.68
2.少数股东损益（净亏损以“-”号填列）|||-19,763.36
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-144,921,397.32|-330,140,882.04
（一）归属于母公司所有者的综合收益总额||-144,921,397.32|-330,121,118.68
（二）归属于少数股东的综合收益总额|||-19,763.36
page|122
八、每股收益：|||
（一）基本每股收益(元/股)||-1.30|-2.99
（二）稀释每股收益(元/股)||-1.30|-2.99
