page|123
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||11,034,500.00|14,020,243.36
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|124
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||9,733,906.93|
收到其他与经营活动有关的现金|78|16,394,988.93|8,285,651.46
经营活动现金流入小计||37,163,395.86|22,305,894.82
购买商品、接受劳务支付的现金||37,689,526.27|19,123,704.76
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||47,921,320.58|32,396,770.32
支付的各项税费||155,008.40|27,675.90
支付其他与经营活动有关的现金|78|55,435,489.29|63,931,419.17
经营活动现金流出小计||141,201,344.54|115,479,570.15
经营活动产生的现金流量净额||-104,037,948.68|-93,173,675.33
二、投资活动产生的现金流量：|||
收回投资收到的现金|||200,000,000.00
取得投资收益收到的现金|||2,287,567.09
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78||20,290,537.51
投资活动现金流入小计|||222,578,104.60
购建固定资产、无形资产和其他长期资产支付的现金||7,345,885.99|3,359,359.08
投资支付的现金|||150,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78||19,051,052.00
投资活动现金流出小计||7,345,885.99|172,410,411.08
page|125
投资活动产生的现金流量净额||-7,345,885.99|50,167,693.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||65,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||65,000,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|5,610,826.40|20,724,404.17
筹资活动现金流出小计||5,610,826.40|20,724,404.17
筹资活动产生的现金流量净额||-5,610,826.40|44,275,595.83
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-116,994,661.07|1,269,614.02
加：期初现金及现金等价物余额||141,449,380.08|140,179,766.06
六、期末现金及现金等价物余额||24,454,719.01|141,449,380.08
