page|115
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|24,454,719.01|142,350,505.08
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
page|116
应收账款|5|1,900,000.00|
应收款项融资|||
预付款项|7|8,467,932.98|14,010,207.35
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|172,964.16|285,933.67
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|9|1,462,705.60|2,744,444.25
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|||
流动资产合计||36,458,321.75|159,391,090.35
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|21|6,222,153.02|5,177,935.50
在建工程|22|4,506,877.62|607,547.17
生产性生物资产|||
油气资产|||
使用权资产|25|1,392,104.64|
无形资产|26|244,468.44|280,244.28
开发支出|||
商誉|||
长期待摊费用|29|1,238,474.44|1,636,558.12
递延所得税资产|30||
其他非流动资产|31|8,113,557.08|9,472,579.08
非流动资产合计||21,717,635.24|17,174,864.15
资产总计||58,175,956.99|176,565,954.50
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|36|44,793,418.86|15,197,126.49
预收款项|||
合同负债|38|284,511.02|284,511.02
page|117
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|3,740,420.78|2,751,497.70
应交税费|40|380,590.93|146,436.63
其他应付款|41|793,971.20|3,850,571.22
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|43|3,104,914.66|
其他流动负债|||
流动负债合计||53,097,827.45|22,230,143.06
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|51|3,576,415.42|7,912,700.00
递延所得税负债|||
其他非流动负债|||
非流动负债合计||3,576,415.42|7,912,700.00
负债合计||56,674,242.87|30,142,843.06
所有者权益（或股东权益）：|||
实收资本（或股本）|53|111,539,343.00|111,539,343.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|55|336,337,819.62|336,337,819.62
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|||
一般风险准备|||
未分配利润|60|-446,375,448.50|-301,454,051.18
归属于母公司所有者权益（或股东权益）合计||1,501,714.12|146,423,111.44
少数股东权益|||
所有者权益（或股东权益）合计||1,501,714.12|146,423,111.44
page|118
负债和所有者权益（或股东权益）总计||58,175,956.99|176,565,954.50
