page|93
项目|附注|本年金额|上年金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||9,878,263,018.75|6,393,085,800.88
收到的税费返还||127,961.23|37,322.15
收到其他与经营活动有关的现金|八、54|1,793,461,289.15|774,544,827.51
经营活动现金流入小计||11,671,852,269.13|7,167,667,950.54
购买商品、接受劳务支付的现金||4,928,609,897.66|3,382,736,519.53
支付给职工及为职工支付的现金||3,339,792,891.07|1,896,928,268.42
支付的各项税费||505,532,132.34|693,875,727.61
支付其他与经营活动有关的现金|八、54|1,908,449,450.82|835,216,882.26
经营活动现金流出小计||10,682,384,371.89|6,808,757,397.82
经营活动产生的现金流量净额||989,467,897.24|358,910,552.72
二、投资活动产生的现金流量|||
收回投资收到的现金|||
取得投资收益收到的现金||27,254,228.79|44,428,280.21
处置固定资产、无形资产和其他长期资产收回的现金净额||136,324.40|92,400.29
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|八、54||1,223,655,610.48
投资活动现金流入小计||27,390,553.19|1,268,176,290.98
购建固定资产、无形资产和其他长期资产支付的现金||35,218,349.87|43,942,842.88
投资支付的现金||4,960,000.00|2,940,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|八、54||6,619,622.42
投资活动现金流出小计||40,178,349.87|53,502,465.30
投资活动产生的现金流量净额||-12,787,796.68|1,214,673,825.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||3,470,000.00|5,390,000.00
其中：子公司吸收少数股东投资收到的现金||3,470,000.00|5,390,000.00
取得借款收到的现金||660,000,000.00|760,000,000.00
收到其他与筹资活动有关的现金|八、54|87,500,000.00|
筹资活动现金流入小计||750,970,000.00|765,390,000.00
偿还债务支付的现金||1,516,073,897.22|1,653,962,811.11
分配股利、利润或偿付利息支付的现金||306,747,465.89|418,294,844.61
其中：子公司支付给少数股东的股利、利润||13,230,156.78|4,736,941.76
支付其他与筹资活动有关的现金|八、54||81,022,744.64
筹资活动现金流出小计||1,822,821,363.11|2,153,280,400.36
筹资活动产生的现金流量净额||-1,071,851,363.11|-1,387,890,400.36
四、汇率变动对现金及现金等价物的影响||67,785.17|
五、现金及现金等价物净增加额|八、54|-95,103,477.38|185,693,978.04
加：年初现金及现金等价物余额|八、55|2,367,440,496.88|2,181,746,518.84
六、年末现金及现金等价物余额|八、55|2,272,337,019.50|2,367,440,496.88
