page|89
项目|附注|本年金额|上年金额
一、营业收入|八、39|8,635,147,480.75|6,077,903,715.74
减：营业成本|八、39|7,460,271,841.25|4,968,170,383.57
税金及附加|八、40|74,840,920.76|16,074,449.09
销售费用|八、41|64,133,154.72|75,017,764.88
管理费用|八、42|348,849,494.50|379,109,973.07
研发费用|八、43|19,621,974.94|17,526,847.30
财务费用|八、44|178,081,442.53|235,791,601.59
其中：利息费用||184,670,460.14|244,852,498.59
利息收入||16,201,376.76|15,127,555.01
加：其他收益|八、45|90,568,937.41|30,950,530.06
投资收益（损失以“-”号填列）|八、46|3,919,643.65|-3,379,309.25
其中：对联营企业和合营企业的投资收益||3,845,454.20|9,113,490.67
以摊余成本计量的金融资产终止确认收益（损失）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|八、47|-5,696.08|-12,851,850.89
信用减值损失（损失以“-”号填列）|八、48|12,469,090.21|-6,507,548.75
资产减值损失（损失以“-”号填列）|八、49|2,637,665.98|8,407,211.00
资产处置收益（损失以“-”号填列）|八、50|-242,772.97|-1,326,131.39
二、营业利润（亏损以“-”号填列）||598,695,520.25|401,505,597.02
加：营业外收入|八、51|33,789,222.49|12,141,962.79
减：营业外支出|八、52|6,555,858.28|5,338,974.00
三、利润总额（亏损总额以“-”号填列）||625,928,884.46|408,308,585.81
减：所得税费用|八、53|217,213,633.41|138,584,970.17
四、净利润（净亏损以“-”号填列）||408,715,251.05|269,723,615.64
（一）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||435,142,396.80|286,227,940.46
2．少数股东损益（净亏损以“-”号填列）||-26,427,145.75|-16,504,324.82
（二）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||408,715,251.05|269,723,615.64
2．终止经营净利润（净亏损以“-”号填列）|||
page|90
项目|附注|本年金额|上年金额
五、其他综合收益的税后净额||-1,128,166.52|20,825.75
归属于母公司股东的其他综合收益的税后净额||-1,128,166.52|20,825.75
（一）不能重分类进损益的其他综合收益||-98,176.15|268,949.47
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动||-98,176.15|268,949.47
4．企业自身信用风险公允价值变动|||
5．其他|||
（二）将重分类进损益的其他综合收益||-1,029,990.37|-248,123.72
1．权益法下可转进损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备（现金流量套期损益的有效部分）|||
6．外币财务报表折算差额||-1,029,990.37|-248,123.72
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
六、综合收益总额||407,587,084.53|269,744,441.39
归属于母公司股东的综合收益总额||434,014,230.28|286,248,766.21
归属于少数股东的综合收益总额||-26,427,145.75|-16,504,324.82
七、每股收益：|||
基本每股收益|十八、2|0.4104|0.4090
稀释每股收益|十八、2|0.4104|0.4090
