page|149
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||13,390,193,666.38|8,865,529,240.75
收到的税费返还||496,705,508.06|297,521,094.73
收到其他与经营活动有关的现金|（五十六）|276,347,916.18|270,756,537.29
经营活动现金流入小计||14,163,247,090.62|9,433,806,872.77
购买商品、接受劳务支付的现金||7,488,006,781.84|4,558,772,514.96
支付给职工以及为职工支付的现金||2,805,298,746.03|1,869,072,913.45
支付的各项税费||1,120,714,296.76|668,210,277.16
支付其他与经营活动有关的现金|（五十六）|983,203,233.04|870,403,450.26
经营活动现金流出小计||12,397,223,057.67|7,966,459,155.83
经营活动产生的现金流量净额||1,766,024,032.95|1,467,347,716.94
二、投资活动产生的现金流量|||
收回投资收到的现金||3,207,000,889.09|2,913,362,587.22
取得投资收益收到的现金||34,952,186.99|1,328,675.39
处置固定资产、无形资产和其他长期资产收回的现金净额||5,762,027.41|899,966.20
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十六）|211,744,378.15|116,021,283.47
投资活动现金流入小计||3,459,459,481.64|3,031,612,512.28
购建固定资产、无形资产和其他长期资产支付的现金||778,589,194.58|358,327,516.66
投资支付的现金||4,888,594,209.00|2,505,783,491.80
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||69,559,219.42|
支付其他与投资活动有关的现金|（五十六）|108,300,300.00|671,177,632.15
投资活动现金流出小计||5,845,042,923.00|3,535,288,640.61
投资活动产生的现金流量净额||-2,385,583,441.36|-503,676,128.33
三、筹资活动产生的现金流量|||
吸收投资收到的现金||2,674,074,670.07|4,500,000.00
其中：子公司吸收少数股东投资收到的现金|||4,500,000.00
取得借款收到的现金||729,246,817.43|1,632,032,075.29
收到其他与筹资活动有关的现金|（五十六）|295,297,754.11|308,663,736.31
筹资活动现金流入小计||3,698,619,241.61|1,945,195,811.60
偿还债务支付的现金||675,421,800.42|1,529,406,227.15
分配股利、利润或偿付利息支付的现金||681,755,664.95|391,018,444.64
其中：子公司支付给少数股东的股利、利润||16,025,262.00|22,842,704.00
支付其他与筹资活动有关的现金|（五十六）|1,042,208,949.46|473,558,953.48
筹资活动现金流出小计||2,399,386,414.83|2,393,983,625.27
筹资活动产生的现金流量净额||1,299,232,826.78|-448,787,813.67
四、汇率变动对现金及现金等价物的影响||-11,869,455.54|-13,191,210.83
五、现金及现金等价物净增加额|（五十七）|667,803,962.83|501,692,564.11
加：期初现金及现金等价物余额|（五十七）|2,361,301,889.42|1,859,609,325.31
六、期末现金及现金等价物余额|（五十七）|3,029,105,852.25|2,361,301,889.42
