page|115
项目|附注五|本期金额|上期金额
一、营业总收入||420,559,433.64|695,937,681.19
其中：营业收入|（四十）|420,559,433.64|695,937,681.19
二、营业总成本||604,800,916.30|858,622,805.08
其中：营业成本|（四十）|349,219,700.28|520,057,053.75
税金及附加|（四十一）|6,053,101.85|8,554,748.38
销售费用|（四十二）|18,697,859.74|27,872,004.43
管理费用|（四十三）|126,589,802.33|143,670,932.14
研发费用|（四十四）|28,112,961.57|34,065,924.53
财务费用|（四十五）|76,127,490.53|124,402,141.85
其中：利息费用||72,509,248.02|104,992,978.09
利息收入||2,581,538.89|4,312,744.33
加：其他收益|（四十六）|14,321,518.86|6,485,965.51
投资收益（损失以“-”号填列）|（四十七）|28,795,788.73|4,242,422.85
其中：对联营企业和合营企业的投资收益||2,758,827.50|-9,893,373.30
以摊余成本计量的金融资产终止确认收益|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|||
信用减值损失（损失以“-”号填列）|（四十八）|-37,341,285.07|-601,360,044.33
资产减值损失（损失以“-”号填列）|（四十九）|-441,239,412.97|-419,228,720.62
资产处置收益（损失以“-”号填列）|（五十）|-2,442,515.25|1,791,780.53
三、营业利润（亏损以“-”号填列）||-622,147,388.36|-1,170,753,719.95
加：营业外收入|（五十一）|3,109,005.92|13,181,721.67
减：营业外支出|（五十二）|104,474,131.12|20,570,156.18
四、利润总额（亏损总额以“-”号填列）||-723,512,513.56|-1,178,142,154.46
减：所得税费用|（五十三）|6,195,593.67|29,810,191.17
五、净利润（净亏损以“-”号填列）||-729,708,107.23|-1,207,952,345.63
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||-729,708,107.23|-1,207,952,345.63
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||-719,044,312.82|-1,209,103,633.94
2．少数股东损益（净亏损以“-”号填列）||-10,663,794.41|1,151,288.31
六、其他综合收益的税后净额||-40,639,393.71|-67,088,487.96
归属于母公司股东的其他综合收益的税后净额||-40,639,393.71|-67,088,487.96
（一）不能重分类进损益的其他综合收益||-25,613,254.56|-17,486,384.85
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益||-25,613,254.56|-17,486,384.85
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
5．其他|||
（二）将重分类进损益的其他综合收益||-15,026,139.15|-49,602,103.11
1．权益法下可转损益的其他综合收益||3,970,516.81|-5,335,620.21
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备（现金流量套期损益的有效部分）|||
6．外币财务报表折算差额||-18,996,655.96|-44,266,482.90
7．其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-770,347,500.94|-1,275,040,833.59
归属于母公司股东的综合收益总额||-759,683,706.53|-1,276,192,121.90
归属于少数股东的综合收益总额||-10,663,794.41|1,151,288.31
八、每股收益：|||
（一）基本每股收益（元/股）||-1.01|-1.70
（二）稀释每股收益（元/股）||-1.01|-1.70
