page|70
项目|附注六|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,044,704,895.35|889,213,885.51
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,366,094.00|
收到其他与经营活动有关的现金|注释 78|132,108,590.00|435,477,757.39
经营活动现金流入小计||1,178,179,579.35|1,324,691,642.90
购买商品、接受劳务支付的现金||1,217,127,641.24|660,500,952.35
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||66,325,479.28|59,455,024.05
支付的各项税费||84,909,745.29|68,868,118.20
支付其他与经营活动有关的现金|注释 78|218,147,111.34|512,956,095.02
经营活动现金流出小计||1,586,509,977.15|1,301,780,189.62
经营活动产生的现金流量净额||-408,330,397.80|22,911,453.28
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||254,500.00|3,376,917.28
处置固定资产、无形资产和其他长期资产收回的现金净额||359,000.00|1,800.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|注释 78|220,000,000.00|670,000,000.00
page|71
投资活动现金流入小计||220,613,500.00|673,378,717.28
购建固定资产、无形资产和其他长期资产支付的现金||60,452,783.88|7,330,705.87
投资支付的现金||3,234,000.00|1,700,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|注释 78|140,000,000.00|750,000,000.00
投资活动现金流出小计||203,686,783.88|759,030,705.87
投资活动产生的现金流量净额||16,926,716.12|-85,651,988.59
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,720,000.00|4,630,000.00
其中：子公司吸收少数股东投资收到的现金||1,720,000.00|4,630,000.00
取得借款收到的现金||475,000,000.00|-
收到其他与筹资活动有关的现金|注释 78|176,631,794.48|120,590,555.93
筹资活动现金流入小计||653,351,794.48|125,220,555.93
偿还债务支付的现金||-|-
分配股利、利润或偿付利息支付的现金||67,310,555.56|63,728,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|注释 78|236,195,077.85|134,634,637.70
筹资活动现金流出小计||303,505,633.41|198,362,637.70
筹资活动产生的现金流量净额||349,846,161.07|-73,142,081.77
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-41,557,520.61|-135,882,617.08
加：期初现金及现金等价物余额||879,703,261.17|1,015,585,878.25
六、期末现金及现金等价物余额||838,145,740.56|879,703,261.17
