page|67
项目|附注六|2021 年度|2020 年度
一、营业总收入||2,710,749,103.86|2,337,907,610.93
其中：营业收入|注释 61|2,710,749,103.86|2,337,907,610.93
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,000,277,861.24|1,807,242,997.18
其中：营业成本|注释 61|1,905,844,067.45|1,660,850,202.91
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 62|1,530,458.95|1,711,533.57
销售费用||-|-
管理费用|注释 64|92,585,291.12|72,652,241.05
研发费用|注释 65|85,003,174.80|75,354,376.13
财务费用|注释 66|-84,685,131.08|-3,325,356.48
其中：利息费用||3,944,110.11|-
利息收入||89,517,461.24|4,802,433.14
加：其他收益|注释 67|1,922,393.54|1,882,661.29
投资收益（损失以“－”号填列）|注释 68|383,383.36|-13,646,786.20
其中：对联营企业和合营企业的投资收益|||-
以摊余成本计量的金融资产终止确认收益||-2,098,708.31|-20,868,584.03
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
page|68
信用减值损失（损失以“-”号填列）|注释 71|-160,426,755.80|-13,049,046.99
资产减值损失（损失以“-”号填列）|注释 72|10,812,462.30|-46,571,616.20
资产处置收益（损失以“－”号填列）|注释 73|37,147.43|-
三、营业利润（亏损以“－”号填列）||563,199,873.45|459,279,825.65
加：营业外收入|注释 74|-|29.13
减：营业外支出|注释 75|80,955.59|40,996.49
四、利润总额（亏损总额以“－”号填列）||563,118,917.86|459,238,858.29
减：所得税费用|注释 76|82,535,824.79|66,823,489.79
五、净利润（净亏损以“－”号填列）||480,583,093.07|392,415,368.50
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||480,585,349.11|392,415,368.50
2.终止经营净利润（净亏损以“－”号填列）||-2,256.04|
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||480,792,920.67|380,367,379.99
2.少数股东损益（净亏损以“-”号填列）||-209,827.60|12,047,988.51
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||480,583,093.07|392,415,368.50
（一）归属于母公司所有者的综合收益总额||480,792,920.67|380,367,379.99
（二）归属于少数股东的综合收益总额||-209,827.60|12,047,988.51
八、每股收益：|||
（一）基本每股收益(元/股)||1.08|0.85
（二）稀释每股收益(元/股)||1.08|0.85
