page|94
项目|附注五|本期金额|上期金额
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||3,829,820,653.36|3,569,954,901.08
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||250,224,283.58|207,023,070.58
收到其他与经营活动有关的现金|（五十五）|82,727,146.46|49,183,746.71
经营活动现金流入小计||4,162,772,083.40|3,826,161,718.37
购买商品、接受劳务支付的现金||1,730,950,685.14|1,937,611,420.35
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工以及为职工支付的现金||739,362,069.04|704,550,483.16
支付的各项税费||236,180,363.82|153,176,744.14
支付其他与经营活动有关的现金|（五十五）|405,754,382.03|493,702,917.91
经营活动现金流出小计||3,112,247,500.03|3,289,041,565.56
经营活动产生的现金流量净额||1,050,524,583.37|537,120,152.81
二、投资活动产生的现金流量|||
收回投资收到的现金|||1,000,000.00
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||59,416,352.13|15,702,955.91
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十五）||444,360,000.00
投资活动现金流入小计||59,416,352.13|461,062,955.91
购建固定资产、无形资产和其他长期资产支付的现金||1,113,579,966.70|684,167,379.79
投资支付的现金||5,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十五）|28,590,038.20|75,890,446.43
投资活动现金流出小计||1,147,170,004.90|760,057,826.22
投资活动产生的现金流量净额||-1,087,753,652.77|-298,994,870.31
三、筹资活动产生的现金流量|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,963,332,920.00|1,259,896,194.34
收到其他与筹资活动有关的现金|（五十五）|363,000,000.00|
筹资活动现金流入小计||2,326,332,920.00|1,259,896,194.34
偿还债务支付的现金||1,956,974,107.94|1,496,907,788.79
分配股利、利润或偿付利息支付的现金||152,722,734.85|182,337,887.09
其中：子公司支付给少数股东的股利、利润||20,000,000.00|4,000,000.00
支付其他与筹资活动有关的现金|（五十五）|276,806,002.64|
筹资活动现金流出小计||2,386,502,845.43|1,679,245,675.88
筹资活动产生的现金流量净额||-60,169,925.43|-419,349,481.54
四、汇率变动对现金及现金等价物的影响||30,760,899.03|-15,607,787.47
五、现金及现金等价物净增加额||-66,638,095.80|-196,831,986.51
加：期初现金及现金等价物余额||933,653,209.55|1,130,485,196.06
六、期末现金及现金等价物余额||867,015,113.75|933,653,209.55
