page|71
项目|附 注|2019 年度|2018 年度
一、营业总收入||1,086,183,597.01|1,566,715,499.74
其中：营业收入||1,086,183,597.01|1,566,715,499.74
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,201,558,852.35|1,643,974,410.35
其中：营业成本||780,668,629.76|1,205,033,957.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||10,189,284.39|13,347,612.52
销售费用||233,222,643.48|207,318,116.83
管理费用||120,581,156.23|132,688,207.56
研发费用||46,427,039.43|65,787,267.72
财务费用||10,470,099.06|19,799,248.66
其中：利息费用||44,635,252.18|55,284,578.82
利息收入||39,004,987.99|35,469,429.25
加：其他收益||7,736,226.23|11,050,930.09
投资收益（损失以“－”号填列）||35,170,973.83|12,094,343.79
其中：对联营企业和合营企业的投资收益||2,682,688.93|12,010,123.61
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||-77,863.00
信用减值损失（损失以“-”号填列）||-2,751,526,876.22|
资产减值损失（损失以“-”号填列）||-36,680,913.95|-39,924,522.93
资产处置收益（损失以“－”号填列）||1,028,006.61|335,325.76
三、营业利润（亏损以“－”号填列）||-2,859,647,838.84|-93,780,696.90
加：营业外收入||744,434.29|4,093,753.23
减：营业外支出||2,286,693.36|3,652,746.63
四、利润总额（亏损总额以“－”号填列）||-2,861,190,097.91|-93,339,690.30
减：所得税费用||52,425,171.00|-3,185,456.30
五、净利润（净亏损以“－”号填列）||-2,913,615,268.91|-90,154,234.00
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-2,913,615,268.91|-90,154,234.00
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-2,915,185,326.47|-92,093,996.60
page|72
2.少数股东损益（净亏损以“-”号填列）||1,570,057.56|1,939,762.60
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-2,913,615,268.91|-90,154,234.00
（一）归属于母公司所有者的综合收益总额||-2,915,185,326.47|-92,093,996.60
（二）归属于少数股东的综合收益总额||1,570,057.56|1,939,762.60
八、每股收益：|||
（一）基本每股收益(元/股)||-3.84|-0.12
（二）稀释每股收益(元/股)||-3.84|-0.12
