page|75
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,625,303,332.11|1,901,748,880.65
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||5,501,621.60|8,036,037.89
收到其他与经营活动有关的现金||168,229,231.49|352,200,136.55
经营活动现金流入小计||1,799,034,185.20|2,261,985,055.09
购买商品、接受劳务支付的现金||824,138,088.82|764,573,919.81
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||149,039,818.50|166,238,827.37
支付的各项税费||46,123,812.16|111,451,935.15
支付其他与经营活动有关的现金||291,446,777.81|470,004,353.14
经营活动现金流出小计||1,310,748,497.29|1,512,269,035.47
经营活动产生的现金流量净额||488,285,687.91|749,716,019.62
二、投资活动产生的现金流量：|||
收回投资收到的现金||17,307,200.00|10,000,000.00
取得投资收益收到的现金||10,466,000.00|3,284,220.18
处置固定资产、无形资产和其他长期资产收回的现金净额||1,158,595.78|130,081.62
处置子公司及其他营业单位收到的现金净额||128,760,857.03|
收到其他与投资活动有关的现金||987,817,463.30|1,593,963,035.35
投资活动现金流入小计||1,145,510,116.11|1,607,377,337.15
购建固定资产、无形资产和其他长期资产支付的现金||51,240,576.31|103,971,298.11
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||22,198,372.16|1,888,979.64
支付其他与投资活动有关的现金||1,410,051,203.30|2,318,385,378.51
投资活动现金流出小计||1,483,490,151.77|2,424,245,656.26
投资活动产生的现金流量净额||-337,980,035.66|-816,868,319.11
三、筹资活动产生的现金流量：|||
page|76
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||565,300,000.00|962,730,000.00
收到其他与筹资活动有关的现金||10,066,640.00|19,803,127.31
筹资活动现金流入小计||575,366,640.00|982,533,127.31
偿还债务支付的现金||765,095,400.00|1,032,100,000.00
分配股利、利润或偿付利息支付的现金||50,051,705.70|56,714,538.50
其中：子公司支付给少数股东的股利、利润||3,234,000.00|
支付其他与筹资活动有关的现金||37,723,084.53|121,951,990.49
筹资活动现金流出小计||852,870,190.23|1,210,766,528.99
筹资活动产生的现金流量净额||-277,503,550.23|-228,233,401.68
四、汇率变动对现金及现金等价物的影响||956,503.88|795,418.22
五、现金及现金等价物净增加额||-126,241,394.10|-294,590,282.95
加：期初现金及现金等价物余额||254,625,592.76|549,215,875.71
六、期末现金及现金等价物余额||128,384,198.66|254,625,592.76
