page|14
项目名称|期初余额|期末余额|当期变动|对当期利润 的影响金额
交易性金融资产|17,667,368,833.83|26,860,163,662.56|9,192,794,828.73|1,180,025,196.12
其他债权投资|11,383,678,879.93|9,107,073,011.84|-2,276,605,868.09|418,227,419.69
其他权益工具投资|3,317,992,713.71|3,424,774,498.21|106,781,784.50|31,080,799.98
交易性金融负债|779,764,040.12|594,122,571.81|-185,641,468.31|-44,075,240.96
衍生金融工具|-15,804,750.70|-1,628,626.72|14,176,123.98|97,408,061.49
合计|33,132,999,716.89|39,984,505,117.70|6,851,505,400.81|1,682,666,236.32
page|15
拆入资金||2,007,622,222.23     1,408,302,777.78|42.56
交易性金融负债|594,122,571.81|779,764,040.12|-23.81
卖出回购金融资产款||18,321,196,405.95    14,515,651,543.18|26.22
代理买卖证券款||12,455,051,319.74    11,242,411,450.99|10.79
应付职工薪酬||1,252,851,712.88     1,146,654,235.49|9.26
应付款项|109,801,383.70|99,925,740.26|9.88
应付债券||15,126,853,662.88    15,460,003,463.01|-2.15
递延所得税负债|213,997,175.09|102,557,630.85|108.66
其他负债|183,283,545.41|172,362,321.53|6.34
实收资本（或股本）||6,645,109,124.00     5,645,109,124.00|17.71
资本公积||11,654,405,801.60     7,768,259,719.03|50.03
其他综合收益|203,085,565.91|183,766,198.05|10.51
盈余公积||1,176,661,527.73     1,100,648,039.52|6.91
一般风险准备||2,276,343,067.06     2,124,316,090.64|7.16
未分配利润||3,187,755,048.11     2,771,469,583.10|15.02
利润表项目|2020 年度|2019 年度|增减率（%）
营业总收入||3,169,571,453.97     3,488,837,437.18|-9.15
利息净收入|330,983,229.17|187,534,369.89|76.49
手续费及佣金净收入|1,044,580,610.10|950,089,370.78|9.95
投资收益||1,690,362,722.60     1,295,444,737.05|30.49
其他收益|20,947,075.31|40,487,656.24|-48.26
公允价值变动收益|-1,035,892.54|905,791,168.72|-100.11
其他业务收入|57,919,811.88|99,822,732.16|-41.98
营业总支出||1,970,058,018.44     2,382,718,116.94|-17.32
税金及附加|22,130,728.58|21,941,346.26|0.86
业务及管理费||1,688,549,956.15     1,956,004,590.68|-13.67
信用减值损失|130,415,975.39|300,653,113.39|-56.62
其他资产减值损失|65,581,527.31|15,422,171.52|325.24
其他业务成本|63,379,831.01|88,696,895.09|-28.54
营业外支出|18,266,280.14|7,294,365.37|150.42
所得税费用|124,168,840.63|134,683,982.34|-7.81
净利润|1,057,794,055.51|964,502,673.18|9.67
其他综合收益的税后净额|23,018,348.58|142,704,447.24|-83.87
