page|92
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,261,635,847.91|1,951,144,278.34
结算备付金||
拆出资金||
交易性金融资产|335,169,418.95|780,916,770.00
衍生金融资产||
应收票据|22,944,023.01|13,853,855.77
应收账款|2,723,254,059.43|2,260,415,395.75
应收款项融资|75,713,847.85|62,363,168.07
预付款项|81,159,972.72|99,360,643.91
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|201,140,814.83|231,025,199.02
其中：应收利息||
应收股利||
买入返售金融资产||
存货|4,255,219,660.49|3,033,745,301.82
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|230,258,819.61|132,529,099.07
流动资产合计|9,186,496,464.80|8,565,353,711.75
非流动资产：||
发放贷款和垫款||
债权投资||
page|93
其他债权投资||
长期应收款||5,201,347.15
长期股权投资|52,795,490.99|85,076,415.34
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|4,362,013,958.68|3,427,689,669.36
在建工程|909,371,231.62|837,325,967.33
生产性生物资产||
油气资产||
使用权资产|843,419,993.89|
无形资产|197,914,377.80|185,156,566.53
开发支出||
商誉|149,270,962.50|149,270,962.50
长期待摊费用|611,459,164.55|285,472,393.65
递延所得税资产|135,164,415.97|63,171,630.90
其他非流动资产|530,943,700.93|16,142,602.60
非流动资产合计|7,792,353,296.93|5,054,507,555.36
资产总计|16,978,849,761.73|13,619,861,267.11
流动负债：||
短期借款|4,132,268,628.49|2,251,619,553.30
向中央银行借款||
拆入资金||
交易性金融负债|1,437,344.73|
衍生金融负债||
应付票据|364,301,450.10|776,926,877.89
应付账款|3,456,644,664.53|2,157,368,186.68
预收款项|2,576,062.56|
合同负债|78,972,947.28|28,604,336.37
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|464,942,345.45|343,168,388.78
page|94
应交税费|63,507,800.65|28,873,944.84
其他应付款|98,754,533.75|16,190,750.08
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|852,263,788.85|100,190,725.33
其他流动负债|7,803,545.34|2,676,912.24
流动负债合计|9,523,473,111.73|5,705,619,675.51
非流动负债：||
保险合同准备金||
长期借款|776,460,000.00|771,780,000.00
应付债券||
其中：优先股||
永续债||
租赁负债|727,604,760.58|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|88,603,495.17|139,834,985.09
递延所得税负债|5,425,118.29|27,584,889.50
其他非流动负债||
非流动负债合计|1,598,093,374.04|939,199,874.59
负债合计|11,121,566,485.77|6,644,819,550.10
所有者权益：||
股本|1,201,027,716.00|1,000,856,430.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,574,559,925.00|3,080,698,131.01
减：库存股||
其他综合收益|-223,911.81|-1,624,540.58
专项储备||
page|95
盈余公积|247,555,350.01|247,835,280.89
一般风险准备||
未分配利润|1,656,342,012.18|2,411,737,218.19
归属于母公司所有者权益合计|5,679,261,091.38|6,739,502,519.51
少数股东权益|178,022,184.58|235,539,197.50
所有者权益合计|5,857,283,275.96|6,975,041,717.01
负债和所有者权益总计|16,978,849,761.73|13,619,861,267.11
