page|94
项目|附注五|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,094,915,277.48|2,672,637,506.81
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||12,303,739.29|7,336,002.16
收到其他与经营活动有关的现金|（五十七）|712,846,896.74|574,503,761.19
经营活动现金流入小计||4,820,065,913.51|3,254,477,270.16
购买商品、接受劳务支付的现金||3,303,127,907.00|1,516,308,666.55
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||714,833,822.18|410,098,553.11
支付的各项税费||331,505,633.16|277,525,572.69
支付其他与经营活动有关的现金|（五十七）|1,496,370,531.51|797,504,755.57
经营活动现金流出小计||5,845,837,893.85|3,001,437,547.92
经营活动产生的现金流量净额||-1,025,771,980.34|253,039,722.24
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,812,483,592.48|5,534,724,030.79
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||2,686,303.35|161,745.07
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（五十七）||31,844,700.00
投资活动现金流入小计||3,815,169,895.83|5,566,730,475.86
购建固定资产、无形资产和其他长期资产支付的现金||1,082,348,472.33|241,464,075.29
投资支付的现金||3,847,180,000.00|5,484,810,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|（五十七）||67,330,000.00
投资活动现金流出小计||4,929,528,472.33|5,793,604,075.29
投资活动产生的现金流量净额||-1,114,358,576.50|-226,873,599.43
page|95
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||396,245,263.95
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||2,906,874,473.68|620,842,750.00
收到其他与筹资活动有关的现金|（五十七）|126,245,324.67|2,776,000.00
筹资活动现金流入小计||3,033,119,798.35|1,019,864,013.95
偿还债务支付的现金||1,091,717,774.59|202,000,000.00
分配股利、利润或偿付利息支付的现金||147,990,359.03|60,429,354.22
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|（五十七）|251,784,386.63|167,818,753.18
筹资活动现金流出小计||1,491,492,520.25|430,248,107.40
筹资活动产生的现金流量净额||1,541,627,278.10|589,615,906.55
四、汇率变动对现金及现金等价物的影响||-4,096.75|-1,822.31
五、现金及现金等价物净增加额||-598,507,375.49|615,780,207.05
加：期初现金及现金等价物余额||1,249,345,293.82|633,565,086.77
六、期末现金及现金等价物余额||650,837,918.33|1,249,345,293.82
