page|91
项目|附注五|2021 年度|2020 年度
一、营业总收入||4,715,130,723.26|3,506,693,613.89
其中：营业收入|（四十一）|4,715,130,723.26|3,506,693,613.89
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||4,727,411,928.91|3,064,708,463.31
其中：营业成本|（四十一）|3,582,563,326.71|2,362,018,646.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（四十二）|40,705,495.16|34,489,333.99
销售费用|（四十三）|662,620,320.35|401,663,876.74
管理费用|（四十四）|224,478,186.88|128,529,868.24
研发费用|（四十五）|118,085,011.95|96,446,558.07
财务费用|（四十六）|98,959,587.86|41,560,180.18
其中：利息费用||93,419,583.24|43,366,693.77
利息收入||2,630,866.31|2,990,054.18
加：其他收益|（四十七）|89,803,758.36|24,769,506.14
投资收益（损失以“－”号填列）|（四十八）|1,065,554.47|6,871,231.45
其中：对联营企业和合营企业的投资收益||186,571.98|-615,354.20
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|（四十九）|18,073,555.02|4,905,214.17
信用减值损失（损失以“-”号填列）|（五十）|-782,460,447.41|-109,283,039.83
|资产减值损失（损失以“-”号填列）  （五十一）|-13,380,546.96|-7,806,340.41
page|92
|资产处置收益（损失以“－”号填列）  （五十二）|169,291.76|-2,810,793.56
三、营业利润（亏损以“－”号填列）||-699,010,040.41|358,630,928.54
加：营业外收入|（五十三）|2,295,520.40|3,185,866.75
减：营业外支出|（五十四）|4,337,871.36|4,714,877.63
四、利润总额（亏损总额以“－”号填列）||-701,052,391.37|357,101,917.66
减：所得税费用|（五十五）|-157,059,143.56|32,402,200.33
五、净利润（净亏损以“－”号填列）||-543,993,247.81|324,699,717.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-543,993,247.81|324,699,717.33
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-543,993,247.81|324,699,717.33
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|（三十八）|153,990,122.18|10,551,855.65
（一）归属母公司所有者的其他综合收益的税后净额||153,990,122.18|10,551,855.65
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||153,990,122.18|10,551,855.65
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他||153,990,122.18|10,551,855.65
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-390,003,125.63|335,251,572.98
（一）归属于母公司所有者的综合收益总额||-390,003,125.63|335,251,572.98
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)|（五十六）|-1.84|1.15
（二）稀释每股收益(元/股)|（五十六）|-1.83|1.15
