page|7
股票简称|帝尔激光|股票代码|300776
公司的中文名称|武汉帝尔激光科技股份有限公司||
公司的中文简称|帝尔激光||
公司的外文名称（如有）|WUHAN DR LASER TECHNOLOGY CORP.,LTD||
公司的外文名称缩写（如有）|DR Laser||
公司的法定代表人|李志刚||
注册地址|武汉市东湖新技术开发区华师园二路 5 号武汉高科国有控股集团有限公司光存储园三号厂房||
注册地址的邮政编码|430223||
公司注册地址历史变更情况|2017 年 1 月 17 日，注册地址由东湖开发区光谷产业园华师园二路四号变更至武汉市东湖新技术开发区华师园二路 5 号武汉高科国有控股集团有限公司光存储园三号厂房；2008 年 7 月 4 日，注册地址由武汉市东湖开发区汤逊湖北路武汉长城创新科技园 1 号变更至东湖开发区光谷产业园华师园二路四号。||
办公地址|武汉市东湖新技术开发区华师园二路 5 号武汉高科国有控股集团有限公司光存储园三号厂房||
办公地址的邮政编码|430223||
公司国际互联网网址|www.drlaser.com.cn||
电子信箱|dr@drlaser.com.cn||
