page|46
项目|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|1|889,238,569.34|385,324,101.30
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|4|44,506,790.00|
应收账款|5|39,964,022.53|42,188,571.14
应收款项融资|6|5,869,015.26|8,650,875.30
预付款项|7|33,861,684.95|30,897,427.83
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|115,091,740.83|122,120,163.85
其中：应收利息|||
应收股利||1,286,909.58|6,943,426.41
买入返售金融资产|||
存货|9|330,412,174.48|330,363,411.29
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|13|109,951,517.50|18,132,326.03
流动资产合计||1,568,895,514.89|937,676,876.74
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|17|183,589,905.97|224,953,876.08
其他权益工具投资|18|32,184,086.72|28,468,009.96
其他非流动金融资产|||
投资性房地产|20|9,424,190.75|10,418,784.47
固定资产|21|309,399,073.23|329,426,978.97
在建工程|22|198,802.34|2,134,836.23
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|26|30,921,171.62|31,965,456.03
开发支出|||
商誉|||
长期待摊费用|29|23,988,286.81|32,643,665.02
page|47
递延所得税资产|30|3,029,816.95|2,772,986.17
其他非流动资产|31|30,574,565.50|
非流动资产合计||623,309,899.89|662,784,592.93
资产总计||2,192,205,414.78|1,600,461,469.67
流动负债：|||
短期借款|32|146,467,693.08|97,229,905.18
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|35|873,400,000.00|392,350,000.00
应付账款|36|14,548,963.32|15,929,083.72
预收款项|37|2,452,321.18|92,215,578.01
合同负债|38|41,603,134.22|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|39|36,287,611.32|34,725,762.91
应交税费|40|22,928,314.43|20,178,656.65
其他应付款|41|113,741,841.58|113,822,389.41
其中：应付利息|||
应付股利||33,821.60|2,809,821.60
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|43|578,000.00|551,000.00
其他流动负债|44|4,698,917.16|
流动负债合计||1,256,706,796.29|767,002,375.88
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|49|20,179,000.00|19,155,000.00
预计负债|||
递延收益|51|38,068,854.28|40,908,276.35
递延所得税负债|30|34,272,974.70|38,822,243.78
其他非流动负债|||
非流动负债合计||92,520,828.98|98,885,520.13
负债合计||1,349,227,625.27|865,887,896.01
所有者权益（或股东权益）：|||
实收资本（或股本）|53|495,972,914.00|495,972,914.00
其他权益工具|||
其中：优先股|||
page|48
永续债|||
资本公积|55|1,782,934,309.84|1,782,934,309.84
减：库存股|||
其他综合收益|57|23,580,366.79|20,956,994.49
专项储备|58|347,611.09|
盈余公积|59|53,165,313.23|53,165,313.23
一般风险准备|||
未分配利润|60|-1,567,432,161.63|-1,681,966,247.52
归属于母公司所有者权益（或股东权益）合计||788,568,353.32|671,063,284.04
少数股东权益||54,409,436.19|63,510,289.62
所有者权益（或股东权益）合计||842,977,789.51|734,573,573.66
负债和所有者权益（或股东权益）总计||2,192,205,414.78|1,600,461,469.67
