page|53
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,872,682,224.88|8,458,348,976.52
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,733,696.79|290,814.05
收到其他与经营活动有关的现金|80|106,745,279.53|131,158,225.35
经营活动现金流入小计||8,982,161,201.20|8,589,798,015.92
购买商品、接受劳务支付的现金||8,208,587,555.81|7,898,608,998.58
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||177,593,955.93|197,864,887.23
支付的各项税费||47,736,752.46|52,845,697.11
支付其他与经营活动有关的现金|80|344,761,889.79|229,470,141.58
经营活动现金流出小计||8,778,680,153.99|8,378,789,724.50
经营活动产生的现金流量净额|81|203,481,047.21|211,008,291.42
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||24,999,643.32|38,050,286.88
处置固定资产、无形资产和其他长期资产收回的现金净额||6,481,759.82|6,866,727.02
处置子公司及其他营业单位收到的现金|81|73,175,804.62|
page|54
净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||104,657,207.76|44,917,013.90
购建固定资产、无形资产和其他长期资产支付的现金||6,633,392.67|31,268,435.43
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||6,633,392.67|31,268,435.43
投资活动产生的现金流量净额||98,023,815.09|13,648,578.47
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||747,841,066.80|510,523,823.53
收到其他与筹资活动有关的现金|80|2,660,000.00|
筹资活动现金流入小计||750,501,066.80|510,523,823.53
偿还债务支付的现金||698,603,278.90|599,855,065.47
分配股利、利润或偿付利息支付的现金||23,113,484.17|14,106,591.10
其中：子公司支付给少数股东的股利、利润||12,299,208.99|8,928,985.60
支付其他与筹资活动有关的现金|80||5,470,000.00
筹资活动现金流出小计||721,716,763.07|619,431,656.57
筹资活动产生的现金流量净额||28,784,303.73|-108,907,833.04
四、汇率变动对现金及现金等价物的影响||-121,141.94|-9,243.34
五、现金及现金等价物净增加额||330,168,024.09|115,739,793.51
加：期初现金及现金等价物余额||305,648,645.67|189,908,852.16
六、期末现金及现金等价物余额|81|635,816,669.76|305,648,645.67
