page|75
|附注|2021 年12 月 31 日|2020 年12 月 31 日
资产|||
流动资产：|||
货币资金|五、1|1,567,095,993|1,194,214,929
应收票据|五、2|42,827,666|-
应收账款|五、3|291,006,410|183,853,362
应收款项融资|五、4|364,457,497|338,090,187
预付款项|五、5|75,235,879|71,296,416
其他应收款|五、6|30,125,270|22,428,956
存货|五、7|2,802,622,520|2,945,548,651
其他流动资产|五、8|217,152,601|234,118,715
流动资产合计||5,390,523,836|4,989,551,216
非流动资产：|||
长期股权投资|五、9|46,496,510|48,263,507
投资性房地产|五、10|24,502,258|27,057,730
固定资产|五、11|5,687,867,314|5,724,935,846
在建工程|五、12|590,172,099|635,495,152
生产性生物资产|五、13|193,712,942|192,173,536
使用权资产|五、14|134,569,039|-
无形资产|五、15|617,866,879|660,989,065
商誉|五、16|112,374,541|132,938,212
长期待摊费用|五、17|284,593,163|314,465,855
递延所得税资产|五、18|245,210,731|206,241,275
其他非流动资产|五、19|144,120,442|170,370,147
非流动资产合计||8,081,485,918|8,112,930,325
资产总计||13,472,009,754|13,102,481,541
page|76
|附注|2021 年12 月 31 日|2020 年12 月 31 日
负债和股东权益|||
流动负债：|||
短期借款|五、20|622,066,457|689,090,715
应付账款|五、21|493,453,816|484,347,958
合同负债|五、22|147,120,716|135,073,280
应付职工薪酬|五、23|195,019,441|188,779,911
应交税费|五、24|342,322,300|213,412,813
其他应付款|五、25|453,033,491|386,105,526
其他流动负债|五、26|18,374,193|14,820,653
一年内到期的非流动负债|五、27|110,865,126|133,311,890
流动负债合计||2,382,255,540|2,244,942,746
非流动负债：|||
长期借款|五、28|176,047,043|200,352,968
租赁负债|五、14|101,811,588|-
长期应付款|五、29|64,000,000|86,000,000
递延收益|五、30|41,295,338|52,653,609
递延所得税负债|五、18|11,803,970|12,022,613
其他非流动负债|五、31|2,119,671|2,078,971
非流动负债合计||397,077,610|353,108,161
负债合计||2,779,333,150|2,598,050,907
page|77
|附注|2021 年12 月 31 日|2020 年12 月 31 日
负债和股东权益 (续)|||
股东权益：|||
股本|五、32|685,464,000|685,464,000
资本公积|五、33|524,968,760|524,968,760
其他综合收益|五、34|(34,707,177)|576,129
盈余公积|五、35|342,732,000|342,732,000
未分配利润|五、36|8,929,426,600|8,714,091,755
归属于母公司股东权益合计||10,447,884,183|10,267,832,644
少数股东权益||244,792,421|236,597,990
股东权益合计||10,692,676,604|10,504,430,634
负债和股东权益总计||13,472,009,754|13,102,481,541
