page|78
项目|附注|2020年度|2019年度|项目|附注|2020年度|2019年度
一、营业收入|六、37|21,705,342,235.59|21,449,125,613.44|六、其他综合收益的税后净额|六、51|306,667,385.69|542,047,602.58
二、营业总成本||17,332,677,230.03|17,159,502,824.83|归属母公司所有者的其他综合收益的税后净额||130,271,341.51|250,834,726.12
其中：营业成本|六、37|14,031,849,751.91|13,940,651,152.26|（一）不能重分类进损益的其他综合收益||63,548,034.94|11,113,377.93
税金及附加|六、38|1,219,260,431.85|1,458,272,576.19|1、重新计量设定受益计划变动额|||
销售费用|六、39|1,100,050,134.33|752,844,200.47|2、权益法下不能转损益的其他综合收益||49,034,885.59|
管理费用|六、40|815,886,331.32|776,144,373.98|3、其他权益工具投资公允价值变动||14,513,149.35|11,113,377.93
研发费用||||4、企业自身信用风险公允价值变动|||
财务费用|六、41|165,630,580.62|231,590,521.93|（二）将重分类进损益的其他综合收益||66,723,306.57|239,721,348.19
其中：利息费用||236,625,605.42|346,103,600.05|1、权益法下可转损益的其他综合收益|||
利息收入||133,428,582.98|202,951,370.71|2、其他债权投资公允价值变动|||
加：其他收益|六、42|3,771,304.37|2,976,146.22|3、可供出售金融资产公允价值变动|||
投资收益（损失以“－”号填列）|六、44|16,369,689.95|111,375,368.24|4、金融资产重分类计入其他综合收益的金额|||
其中：对联营企业和合营企业的投资收益||19,422,527.98|144,899,459.86|5、持有至到期投资重分类为可供出售金融资产损益|||
以摊余成本计量的金融资产终于确认收益||||6、其他债权投资信用减值准备|||
净敞口套期收益（损失以“－”号填列）||||7、现金流量套期储备（现金流量套期损益的有效部分）|||
公允价值变动收益（损失以“－”号填列）|六、43|-|1,018,000,000.00|8、外币财务报表折算差额||33,598,533.53|7,355,912.90
信用减值损失（损失以“－”号填列）|六、46|30,284,381.43|-63,533,531.23|9、其他||33,124,773.04|232,365,435.29
资产减值损失（损失以“－”号填列）|六、45|-16,605,036.80|||||
资产处置收益（损失以“-”号填列）|六、47|58,193.08|16,288.16|归属于少数股东的其他综合收益的税后净额||176,396,044.18|291,212,876.46
三、营业利润（亏损以“－”号填列）||4,406,543,537.59|5,358,457,060.00||||
加：营业外收入|六、48|123,567,386.98|58,006,942.45|七、综合收益总额||3,555,525,632.72|4,383,460,986.60
减：营业外支出|六、49|25,561,575.37|66,967,064.53|归属于母公司所有者的综合收益总额||1,680,438,178.95|2,680,379,990.95
四、利润总额（亏损总额以“－”号填列）||4,504,549,349.20|5,349,496,937.92|归属于少数股东的综合收益总额||1,875,087,453.77|1,703,080,995.65
减：所得税费用|六、50|1,255,691,102.17|1,508,083,553.90||||
五、净利润（净亏损以“－”号填列）||3,248,858,247.03|3,841,413,384.02|八、每股收益：|||
（一）按经营持续性分类：||||（一）基本每股收益（元/股）||0.41|0.65
1、持续经营净利润（净亏损以“－”号填列）||3,248,858,247.03|3,841,413,384.02|（二）稀释每股收益（元/股）||0.41|0.65
2、终止经营净利润（净亏损以“－”号填列）|||||||
（二）按所有权归属分类：|||||||
1、归属于母公司所有者的净利润（净亏损以“－”号填列）||1,550,166,837.44|2,429,545,264.83||||
1、少数股东损益（净亏损以“－”号填列）||1,698,691,409.59|1,411,868,119.19||||
