page|158
(除特别注明外，金额单位：人民币元)|||
资产|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
货币资金|六、1|95,816,612,005|61,453,934,518
其中：客户资金存款||51,665,739,684|40,960,387,835
结算备付金|六、2|12,295,175,160|10,963,794,052
其中：客户备付金||9,284,976,413|7,498,412,065
融出资金|六、3|33,884,813,279|23,189,950,890
衍生金融资产|六、4|12,311,263,836|4,502,204,258
存出保证金|六、5|11,768,323,935|6,502,093,854
应收款项|六、6|43,493,774,685|17,876,559,376
买入返售金融资产|六、7|18,430,697,148|14,298,936,913
金融投资：|||
交易性金融资产|六、8|247,605,697,645|168,191,894,121
其他债权投资|六、9|37,212,187,524|28,985,823,339
长期股权投资|六、10|1,188,852,866|1,168,476,657
固定资产|六、11|515,198,700|511,788,283
在建工程|六、12|37,337,284|6,514,139
使用权资产|六、13|1,189,815,243|1,488,861,120
无形资产|六、14|1,386,614,294|1,397,925,896
商誉|六、15|1,582,678,646|1,582,678,646
递延所得税资产|六、16|1,787,614,365|1,089,945,732
其他资产|六、17|1,113,843,001|1,759,861,121
资产总计||521,620,499,616|344,971,242,915
page|159
合并资产负债表 - 续|||
2020 年 12 月 31 日|||
(除特别注明外，金额单位：人民币元)|||
负债及权益|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
负债|||
应付短期融资款|六、19|26,492,570,465|21,240,334,869
拆入资金|六、20|34,516,414,695|24,082,382,130
交易性金融负债|六、21|42,891,549,327|26,570,318,854
衍生金融负债|六、4|24,682,534,637|6,362,192,001
卖出回购金融资产款|六、22|25,101,083,823|24,708,257,231
代理买卖证券款|六、23|70,655,180,456|48,337,872,171
代理承销证券款|六、24|-|4,477,482,000
应付职工薪酬|六、25|8,586,964,375|5,479,911,805
应交税费|六、26|1,824,341,461|1,549,150,341
应付款项|六、27|79,274,850,736|44,015,643,391
合同负债|六、28|170,928,280|339,489,435
租赁负债|六、29|1,204,859,272|1,459,994,528
应付债券|六、30|128,000,960,852|79,391,354,390
递延所得税负债|六、16|506,667,665|361,389,177
其他负债|六、31|5,896,460,578|8,063,935,157
负债合计||449,805,366,622|296,439,707,480
股东权益|||
股本|六、32|4,827,256,868|4,368,667,868
其他权益工具|六、33|5,000,000,000|1,000,000,000
其中：永续次级债券||5,000,000,000|1,000,000,000
资本公积|六、34|39,533,272,979|26,931,646,975
其他综合收益|六、35|(594,402,852)|275,124,924
盈余公积|六、36|995,576,479|736,558,479
一般风险准备|六、37|4,074,311,372|3,201,193,156
未分配利润|六、38|17,798,924,176|11,780,607,940
归属于母公司股东的权益合计||71,634,939,022|48,293,799,342
少数股东权益||180,193,972|237,736,093
股东权益合计||71,815,132,994|48,531,535,435
负债及权益总计||521,620,499,616|344,971,242,915
