page|73
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,329,979,925.76|1,243,293,739.30
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款|七、5|1,924,992.00|28,866,470.55
应收款项融资|七、6|7,380,972.57|186,567,800.00
预付款项|七、7|36,115,301.20|33,955,534.36
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|2,694,270.62|7,938,822.46
其中：应收利息||546,206.25|5,182,061.57
应收股利|||
买入返售金融资产|||
存货|七、9|1,879,399,298.64|1,520,039,204.14
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|7,720,026.94|22,258,793.36
流动资产合计||3,265,214,787.73|3,042,920,364.17
非流动资产：|||
发放贷款和垫款|||
债权投资|||
page|74
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|七、20|9,556,398.77|9,851,957.50
固定资产|七、21|533,858,489.98|531,102,571.12
在建工程|七、22|229,624,907.69|81,963,879.57
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|122,785,784.05|123,208,470.23
开发支出|||
商誉|||
长期待摊费用|七、29|2,023,375.97|3,272,496.85
递延所得税资产|七、30|197,475,388.40|145,615,292.26
其他非流动资产|七、31|6,225,501.25|8,046,433.99
非流动资产合计||1,101,549,846.11|903,061,101.52
资产总计||4,366,764,633.84|3,945,981,465.69
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|149,194,165.35|149,109,712.09
应付账款|七、36|481,554,266.27|329,039,423.32
预收款项|七、37||370,964,989.60
合同负债|七、38|736,123,405.05|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
page|75
代理承销证券款|||
应付职工薪酬|七、39|91,189,001.49|72,558,571.14
应交税费|七、40|166,479,520.17|185,315,269.99
其他应付款|七、41|560,936,160.94|699,629,313.71
其中：应付利息|||
应付股利||297,984,705.35|131,640,270.40
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43||3,812,991.51
其他流动负债|七、44|30,630,218.17|
流动负债合计||2,216,106,737.44|1,810,430,271.36
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、48||349,021.92
长期应付职工薪酬|七、49||17,820,819.00
预计负债|||
递延收益|||
递延所得税负债|||
其他非流动负债|七、52|14,671,526.30|5,387,819.58
非流动负债合计||14,671,526.30|23,557,660.50
负债合计||2,230,778,263.74|1,833,987,931.86
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|488,435,598.00|488,545,698.00
其他权益工具|||
其中：优先股|||
永续债|||
page|76
资本公积|七、55|396,479,187.14|400,312,331.23
减：库存股|七、56|9,111,546.73|14,007,502.30
其他综合收益|||
专项储备|||
盈余公积|七、59|410,573,087.70|410,573,087.70
一般风险准备|||
未分配利润|七、60|849,610,043.99|826,569,919.20
归属于母公司所有者权益（或股东权益）合计||2,135,986,370.10|2,111,993,533.83
少数股东权益|||
所有者权益（或股东权益）合计||2,135,986,370.10|2,111,993,533.83
负债和所有者权益（或股东权益）总计||4,366,764,633.84|3,945,981,465.69
