page|120
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||282,415,406.13|226,690,695.79
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、76（1）|46,170,446.05|27,357,221.40
经营活动现金流入小计||328,585,852.18|254,047,917.19
购买商品、接受劳务支付的现金||42,992,616.45|23,782,598.58
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的||90,035,795.04|73,338,364.03
page|121
现金|||
支付的各项税费||22,170,252.06|14,564,822.39
支付其他与经营活动有关的现金|七、76（2）|66,668,369.71|56,543,304.55
经营活动现金流出小计||221,867,033.26|168,229,089.55
经营活动产生的现金流量净额||106,718,818.92|85,818,827.64
二、投资活动产生的现金流量：|||
收回投资收到的现金|||408,571,180.01
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||1,350,380.45|759,980.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、76（3）|195,000,000.00|
投资活动现金流入小计||196,350,380.45|409,331,160.01
购建固定资产、无形资产和其他长期资产支付的现金||105,774,547.97|98,738,914.18
投资支付的现金||580,000,000.00|206,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、76（4）|165,000,000.00|180,000,000.00
投资活动现金流出小计||850,774,547.97|484,738,914.18
投资活动产生的现金流量净额||-654,424,167.52|-75,407,754.17
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||612,933,570.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|七、76（5）||
筹资活动现金流入小计||612,933,570.00|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76（6）||
筹资活动现金流出小计|||
筹资活动产生的现金流量净额||612,933,570.00|
四、汇率变动对现金及现金等价物的影响||7,477.86|4,373.78
五、现金及现金等价物净增加额||65,235,699.26|10,415,447.25
page|122
加：期初现金及现金等价物余额|七、77（4）|32,139,681.14|21,724,233.89
六、期末现金及现金等价物余额  七、77（4）||97,375,380.40|32,139,681.14
