page|126
项目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、经营活动产生的现金流量|||||
销售商品、提供劳务收到的现金||9,517,987,346|8,800,923,086|2,338,469,571|2,930,151,639
收到其他与经营活动有关的现金|四(57)|125,156,919|201,972,031|47,084,379|54,431,663
经营活动现金流入小计||9,643,144,265|9,002,895,117|2,385,553,950|2,984,583,302
购买商品、接受劳务支付的现金||(5,553,912,454)|(4,753,354,312)|(1,644,565,774)|(1,933,201,676)
支付给职工以及为职工支付的现金||(821,499,669)|(569,168,299)|(174,180,153)|(142,037,718)
支付的各项税费||(816,074,146)|(760,958,557)|(109,047,418)|(157,257,831)
支付其他与经营活动有关的现金|四(57)|(954,017,377)|(841,440,734)|(367,279,513)|(417,434,695)
经营活动现金流出小计||(8,145,503,646)|(6,924,921,902)|(2,295,072,858)|(2,649,931,920)
经营活动产生的现金流量净额||1,497,640,619|2,077,973,215|90,481,092|334,651,382
|||||
二、投资活动产生的现金流量|||||
收回投资收到的现金||272,267,403|1,065,600,000|-|820,000,000
取得投资收益所收到的现金||69,944,017|56,478,870|34,172,418|19,799,578
处置固定资产、无形资产和其他长期资产收        回的现金净额||28,094,732|11,378,461|353,479|769,827
收到其他与投资活动有关的现金|四(57)|209,744,005|145,437,915|5,144,330,303|4,277,272,509
投资活动现金流入小计||580,050,157|1,278,895,246|5,178,856,200|5,117,841,914
购建固定资产、无形资产和其他长期资产支付的现金||(212,606,449)|(321,404,198)|(63,161,117)|(47,877,667)
投资支付的现金||(507,378,948)|(1,188,678,597)|(2,173,279,752)|(1,030,000,000)
取得子公司及其他营业单位支付的现金净额|四(58)|(1,290,184,808)|(88,927,103)|-|-
支付其他与投资活动有关的现金|四(57)|(33,653,369)|(227,554,983)|(4,326,882,377)|(4,573,815,956)
投资活动现金流出小计||(2,043,823,574)|(1,826,564,881)|(6,563,323,246)|(5,651,693,623)
投资活动使用的现金流量净额||(1,463,773,417)|(547,669,635)|(1,384,467,046)|(533,851,709)
|||||
三、筹资活动产生的现金流量|||||
取得借款收到的现金||3,102,210,175|2,916,345,406|2,284,900,000|2,515,161,674
收到其他与筹资活动有关的现金|四(57)|1,938,334,659|743,986,378|4,341,505,592|5,110,794,881
筹资活动现金流入小计||5,040,544,834|3,660,331,784|6,626,405,592|7,625,956,555
偿还债务支付的现金||(4,320,951,780)|(3,574,619,574)|(3,316,647,200)|(2,347,843,520)
分配股利、利润或偿付利息支付的现金||(521,788,334)|(723,241,972)|(427,570,424)|(597,378,032)
其中：子公司支付给少数股东的股利、利润||(19,478,325)|-|-|-
支付其他与筹资活动有关的现金|四(57)|(708,930,877)|(1,372,896,536)|(1,865,289,895)|(4,910,080,960)
筹资活动现金流出小计||(5,551,670,991)|(5,670,758,082)|(5,609,507,519)|(7,855,302,512)
筹资活动(使用)/产生的现金流量净额||(511,126,157)|(2,010,426,298)|1,016,898,073|(229,345,957)
|||||
四、汇率变动对现金及现金等价物的影响||14,311,190|(1,067,867)|14,183,368|24,709
|||||
五、现金及现金等价物净增加额|四(58)|(462,947,765)|(481,190,585)|(262,904,513)|(428,521,575)
加：年初现金及现金等价物余额||910,724,196|1,391,914,781|447,796,316|876,317,891
|||||
六、年末现金及现金等价物余额||447,776,431|910,724,196|184,891,803|447,796,316
