page|123
项目|附注|2019 年 12 月 31 日 合并|2018 年 12 月 31 日 合并|2019 年 12 月 31 日 公司|2018 年 12 月 31 日 公司
流动资产|||||
货币资金|四(1)|583,307,135|1,585,634,639|247,240,816|994,770,987
应收票据|四(2)|-|117,671,251|-|42,813,935
应收账款|四(3)、十五(1)|2,573,024,625|1,748,708,181|437,464,053|366,772,576
应收款项融资|四(4)|105,091,234|——|-|——
预付款项|四(5)|201,611,492|262,391,532|113,820,812|209,955,154
其他应收款|四(6)、十五(2)|101,231,611|216,207,798|4,211,371,772|5,042,740,877
存货|四(7)|1,085,589,768|702,691,917|97,684,729|151,482,250
其他流动资产|四(8)|272,479,297|317,619,875|18,726,655|32,773,270
流动资产合计||4,922,335,162|4,950,925,193|5,126,308,837|6,841,309,049
|||||
非流动资产|||||
可供出售金融资产|四(9)|——|354,616,393|——|2,413,117
长期股权投资|四(12)、六(2)、十五(3)|2,552,477,391|2,235,814,052|5,151,424,954|2,977,885,957
其他权益工具投资|四(10)|257,311,746|——|2,325,511|——
其他非流动金融资产|四(11)|18,015,886|——|9,178,700|——
投资性房地产|四(13)|124,406,533|128,340,435|-|-
固定资产|四(14)|5,235,763,977|4,680,279,924|422,023,329|508,349,180
在建工程|四(15)|108,015,736|255,401,512|79,339,329|52,699,688
无形资产|四(16)|684,358,693|516,679,406|54,854,641|59,862,046
商誉|四(17)|88,450,571|40,292,090|-|-
长期待摊费用|四(18)|92,572,496|108,209,167|12,487,528|17,566,166
递延所得税资产|四(19)|72,239,691|94,690,206|42,966,708|42,966,708
其他非流动资产|四(20)|577,106,245|78,109,485|40,332,567|4,202,661
非流动资产合计||9,810,718,965|8,492,432,670|5,814,933,267|3,665,945,523
|||||
资产总计||14,733,054,127|13,443,357,863|10,941,242,104|10,507,254,572
|||||
流动负债|||||
短期借款|四(22)|1,719,001,537|1,754,193,800|1,176,600,874|1,550,000,000
应付票据|四(23)|312,636,838|601,505,884|168,102,672|391,741,764
应付账款|四(24)|2,339,402,778|1,059,259,923|352,920,232|335,558,884
预收款项|四(25)|57,627,109|43,429,480|4,081,994|5,943,235
应付职工薪酬|四(26)|140,882,446|97,873,523|55,996,064|36,150,795
应交税费|四(27)|135,869,539|141,299,273|10,522,118|5,061,510
其他应付款|四(28)|338,527,237|276,831,861|4,707,165,773|3,011,827,692
一年内到期的非流动负债|四(29)|1,480,547,058|2,728,920,876|868,726,354|1,974,350,200
流动负债合计||6,524,494,542|6,703,314,620|7,344,116,081|7,310,634,080
|||||
非流动负债|||||
长期借款|四(30)|1,077,419,660|844,662,965|673,500,000|169,600,000
长期应付款|四(32)|857,842,308|90,745,151|49,719,368|-
递延收益|四(33)|185,427,767|147,386,293|4,253,632|3,276,838
递延所得税负债|四(19)|104,434,924|40,855,173|-|-
其他非流动负债|五(1)|9,610,000|-|9,610,000|-
非流动负债合计||2,234,734,659|1,123,649,582|737,083,000|172,876,838
page|124
|||||
负债合计||8,759,229,201|7,826,964,202|8,081,199,081|7,483,510,918
|||||
股东权益|||||
股本|四(34)|2,355,225,600|2,355,225,600|2,355,225,600|2,355,225,600
资本公积|四(36)|(18,503,121)|(22,020,989)|104,359,920|105,916,742
减：库存股|四(35)|(124,651,364)|(124,651,364)|(124,651,364)|(124,651,364)
其他综合收益|四(37)|(83,082,808)|1,530,991|(7,649,667)|(7,290,533)
盈余公积|四(38)|313,896,771|304,877,379|313,896,771|304,877,379
未分配利润|四(39)|3,286,589,479|2,858,721,401|218,861,763|389,665,830
归属于母公司股东权益合计||5,729,474,557|5,373,683,018|2,860,043,023|3,023,743,654
少数股东权益||244,350,369|242,710,643|-|-
股东权益合计||5,973,824,926|5,616,393,661|2,860,043,023|3,023,743,654
|||||
负债和股东权益总计||14,733,054,127|13,443,357,863|10,941,242,104|10,507,254,572
page|125
项目|附注|2019 年度 合并|2018 年度 合并|2019 年度 公司|2018 年度 公司
一、营业收入|四(40)、十五(4)|9,369,162,549|8,175,388,304|2,532,854,630|2,779,206,942
减：  营业成本|四(40)、十五(4)|(7,092,991,096)|(6,067,205,169)|(1,988,208,791)|(2,078,477,613)
税金及附加|四(41)|(67,354,737)|(73,620,834)|(12,191,286)|(17,064,792)
销售费用|四(42)|(377,926,067)|(310,352,300)|(60,361,440)|(87,451,103)
管理费用|四(43)|(545,759,714)|(463,439,643)|(264,422,880)|(208,121,170)
研发费用|四(44)|(97,062,809)|(93,062,849)|(92,843,439)|(93,062,849)
财务费用|四(45)|(293,768,816)|(291,594,261)|(179,896,075)|(261,173,303)
其中：利息费用||316,278,530|314,060,708|200,713,682|267,891,085
利息收入||10,804,693|16,392,388|7,901,854|9,083,382
加：  其他收益|四(49)|63,077,228|77,641,720|7,616,344|6,181,380
投资收益|四(50)、十五(5)|140,535,838|104,079,282|178,742,111|421,864,340
其中：对联营企业和合营企业的投资收益||125,428,329|102,131,966|40,538,869|27,242,015
公允价值变动收益||(650,000)|-|-|-
信用减值损失|四(48)|(21,237,765)|——|(4,723,317)|——
资产减值损失|四(47)|(54,352,803)|(558,396,487)|(26,605,219)|(509,157,342)
资产处置收益|四(51)|26,774,041|36,443,894|1,519,224|201,899
|||||
二、营业利润||1,048,445,849|535,881,657|91,479,862|(47,053,611)
加：  营业外收入|四(52)|8,508,902|15,129,259|136,415|1,129,799
减：  营业外支出|四(53)|(7,234,309)|(10,385,372)|(494,140)|(4,036,778)
|||||
三、利润总额||1,049,720,442|540,625,544|91,122,137|(49,960,590)
减：  所得税费用|四(54)|(356,731,697)|(316,993,460)|(928,215)|4,959,050
|||||
四、净利润||692,988,745|223,632,084|90,193,922|(45,001,540)
|||||
按经营持续性分类|||||
持续经营净利润||692,988,745|223,632,084|90,193,922|(45,001,540)
终止经营净利润||-|-|-|-
|||||
按所有权归属分类|||||
少数股东损益||9,745,354|(1,751,990)|-|-
归属于母公司股东的净利润||683,243,391|225,384,074|90,193,922|(45,001,540)
|||||
五、其他综合收益的税后净额|四(37)|(78,086,459)|9,893,597|(359,134)|(7,205,484)
归属于母公司股东的其他综合收益的税后净额||(77,985,909)|9,730,627|(359,134)|(7,205,484)
