page|60
项目|附注|2020 年 12 月 31日|2019 年 12 月 31日
流动资产：|||
货币资金|五（一）|195,533,977.39|209,901,451.40
结算备付金|||
拆出资金|||
交易性金融资产|五（二）|50,000,000.00|65,000,000.00
衍生金融资产|||
应收票据|五（三）|14,157,800.00|26,909,538.93
应收账款|五（四）|154,264,677.48|224,790,250.25
应收款项融资|五（五）|55,341,728.57|43,418,540.27
预付款项|五（六）|43,211,310.02|24,526,169.73
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|五（七）|23,871,191.04|1,476,838.97
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|五（八）|277,835,850.71|289,681,522.45
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|五（九）|9,035,941.68|6,516,834.65
流动资产合计||823,252,476.89|892,221,146.65
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|五（十）|4,559,343.89|9,939,910.04
长期股权投资|五（十一）||11,117,761.58
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|五（十二）|253,420,459.66|289,034,648.65
在建工程|五（十三）|23,742,394.91|44,277,799.27
生产性生物资产|||
油气资产|||
使用权资产|||
page|61
无形资产|五（十四）|77,669,301.78|91,078,344.26
开发支出|||
商誉|||
长期待摊费用|五（十五）|14,462,955.00|26,879,960.56
递延所得税资产|五（十六）|16,767,590.52|16,030,189.67
其他非流动资产|五（十七）|2,820,934.71|11,659,704.98
非流动资产合计||393,442,980.47|500,018,319.01
资产总计||1,216,695,457.36|1,392,239,465.66
流动负债：|||
短期借款|五（十八）|30,038,588.71|120,163,358.87
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|五（十九）|79,030,973.07|27,683,788.39
应付账款|五（二十）|44,515,748.46|115,324,826.54
预收款项|||4,718,531.88
合同负债|五（二十一）|4,227,237.19|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|五（二十二）|6,947,206.72|9,819,320.99
应交税费|五（二十三）|890,034.11|1,730,393.36
其他应付款|五（二十四）|242,090.10|392,920.66
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|五（二十五）||61,709,013.70
其他流动负债|五（二十六）|4,031,974.43|11,533,537.08
流动负债合计||169,923,852.79|353,075,691.47
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|五（二十七）|7,626,777.88|7,593,567.03
递延所得税负债|||
其他非流动负债|||
非流动负债合计||7,626,777.88|7,593,567.03
负债合计||177,550,630.67|360,669,258.50
page|62
所有者权益（或股东权益）：|||
实收资本（或股本）|五（二十八）|128,000,000.00|128,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|五（二十九）|731,104,782.13|715,467,466.99
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|五（三十）|33,987,720.37|37,912,799.21
一般风险准备|||
未分配利润|五（三十一）|146,052,324.19|150,189,940.96
归属于母公司所有者权益（或股东权益）合计||1,039,144,826.69|1,031,570,207.16
少数股东权益|||
所有者权益（或股东权益）合计||1,039,144,826.69|1,031,570,207.16
负债和所有者权益（或股东权益）总计||1,216,695,457.36|1,392,239,465.66
