page|99
项目|附注|2020 年 （1-12 月）|2019 年 （1-12 月）
|五、（二）、1||
一、营业总收入||25,907,048,214.04|23,040,436,214.75
二、营业总成本||26,209,402,516.15|24,362,164,756.85
其中：营业成本|五、（二）、1|20,227,727,528.27|18,083,886,736.35
税金及附加|五、（二）、2|151,893,101.09|169,715,738.09
销售费用|五、（二）、3|1,988,707,643.76|2,352,266,858.56
管理费用|五、（二）、4|1,245,027,111.21|1,486,200,544.23
研发费用|五、（二）、5|1,238,188,337.27|1,055,353,776.49
财务费用|五、（二）、6|1,357,858,794.55|1,214,741,103.13
其中：利息费用||1,238,968,824.96   1,334,856,760.34|
利息收入||123,295,840.62   129,063,964.98|
加：其他收益|五、（二）、7|281,294,757.20|272,910,706.68
投资收益(损失以"-"填列)|五、（二）、8|1,442,690,135.24|1,519,718,055.53
其中：对联营企业和合营企业的投资收益||608,450,893.84|600,133,667.24
以摊余成本计量的金融资产终止确认收益||0.00|0.00
公允价值变动收益(损失以"-"填列)|五、（二）、9|-486,499,358.96|942,049,661.57
信用减值损失(损失以"-"填列)|五、（二）、10|-417,162,019.51|-240,860,593.22
资产减值损失(损失以"-"填列)|五、（二）、11|-347,753,483.06|-375,397,983.49
资产处置收益（损失以“-”号填列）|五、（二）、12|175,114,193.05|14,121,680.63
三、营业利润(亏损以"-"填列)||345,329,921.85|810,812,985.60
加：营业外收入|五、（二）、13|55,693,885.04|32,923,034.87
减：营业外支出|五、（二）、14|19,802,697.42|45,237,666.79
四、利润总额(亏损总额以"-"填列)||381,221,109.47|798,498,353.68
减：所得税费用|五、（二）、15|68,598,525.05|260,465,874.73
五、净利润(净亏损以"-"填列)||312,622,584.42|538,032,478.95
（一）按经营持续性分类|||
1.持续经营净利润(净亏损以“-”号填列)||312,622,584.42|538,032,478.95
2.终止经营净利润(净亏损以“-”号填列)||0.00|0.00
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润||102,507,449.92|297,696,651.79
2.少数所有者损益 六、其他综合收益的税后净额|五、（二）、16|210,115,134.50 -244,307,505.45|240,335,827.16  193,417,045.56
|||
归属母公司所有者的其他综合收益的税后净额||-215,001,760.75|171,991,921.64
（一）以后不能重分类进损益的其他综合收益||-31,453,121.06|-16,239,182.28
1.重新计量设定受益计划变动额||0.00|0.00
2.权益法下不能转损益的其他综合收益|||18,701,494.70
3.其他权益工具投资公允价值变动||-31,453,121.06|-34,940,676.98
4.企业自身信用风险公允价值变动||0.00|0.00
（二）以后将重分类进损益的其他综合收益||-183,548,639.69|188,231,103.92
1.权益法下可转损益的其他综合收益||-417,670,602.69|260,987,819.51
2.其他债权投资公允价值变动||0.00|0.00
3.金融资产重分类计入其他综合收益的金额||0.00|0.00
4.其他债权投资信用减值准备||0.00|0.00
5.现金流量套期储备||0.00|0.00
page|100
6.外币财务报表折算差额||306,743,406.27|-72,756,715.59
7.其他||-72,621,443.27|0.00
归属于少数所有者的其他综合收益的税后净额||-29,305,744.70|21,425,123.92
七、综合收益总额||68,315,078.97|731,449,524.51
归属于母公司所有者的综合收益总额||-112,494,310.83|469,688,573.43
归属于少数所有者的综合收益总额||180,809,389.80|261,760,951.08
八、每股收益|||
（一）基本每股收益||0.0346|0.1004
（二）稀释每股收益||0.0346|0.1004
