page|110
(除特别注明外，金额单位为人民币百万元)|||
|附注|2019 年|2018 年
一、营业收入|四 (45)|154,322|143,623
减： 营业成本|四 (45)|135,668|128,613
税金及附加|四 (46)|348|272
销售费用|四 (47)|7,923|7,086
管理费用|四 (48)|4,040|3,736
研发费用|四 (49)|352|221
财务费用|四 (50)|7,460|5,108
其中：利息费用||5,845|3,202
利息收入||74|125
加： 其他收益|四 (57)|4,084|4,320
投资收益|四 (52)|225|483
其中：对联营企业和合营企业的投资收益||200|463
公允价值变动收益|四 (53)|265|12
信用减值损失|四 (54)|(13)|(3)
资产减值损失|四 (55)|(38)|(12)
资产处置收益|四 (56)|148|622
二、营业利润||3,202|4,009
加：营业外收入|四 (59)|924|849
减：营业外支出|四 (60)|56|371
三、利润总额||4,070|4,487
减：所得税费用|四 (61)|975|1,031
四、净利润||3,095|3,456
(一)按经营持续性分类:|||
1. 持续经营净利润||3,095|3,456
2. 终止经营净利润||-|-
(二)按所有权归属分类:|||
1. 归属于母公司股东的净利润||2,651|2,983
2. 少数股东损益||444|473
page|111
(除特别注明外，金额单位为人民币百万元)|||
|附注|2019 年|2018 年
五、其他综合收益的税后净额|四 (42)|(83)|255
(一)归属于母公司股东的其他综合收益的税后净额||(88)|153
1.不能重分类进损益的其他综合收益|||
(1)权益法下不能转损益的其他综合收益||2|(2)
(2)其他权益工具投资公允价值变动||(29)|135
2.将重分类进损益的其他综合收益|||
(1)现金流量套期储备||(55)|22
(2)外币财务报表折算差额||(6)|(2)
(二)归属于少数股东的其他综合收益的税后净额||5|102
六、综合收益总额||3,012|3,711
(一)归属于母公司股东的综合收益总额||2,563|3,136
(二)归属于少数股东的综合收益总额||449|575
七、每股收益|||
(一)基本每股收益 (人民币元)|四 (62)|0.22|0.28
(二)稀释每股收益 (人民币元)|四 (62)|0.22|0.28
