page|113
2019 年度|||
(除特别注明外，金额单位为人民币百万元)|||
项 目|附注|2019 年|2018 年
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||171,535|159,144
收到的税费返还||187|242
收到其他与经营活动有关的现金|四 (63) (a)|4,531|4,090
经营活动现金流入小计||176,253|163,476
购买商品、接受劳务支付的现金||107,054|113,611
支付给职工以及为职工支付的现金||26,816|25,245
支付的各项税费||3,091|3,247
支付其他与经营活动有关的现金|四 (63) (b)|1,170|1,788
经营活动现金流出小计||138,131|143,891
经营活动产生的现金流量净额|四 (64) (a)|38,122|19,585
二、投资活动产生的现金流量|||
收回投资收到的现金||492|-
取得投资收益收到的现金||283|139
取得子公司及其他营业单位取得的现金净额||176|6
处置固定资产、无形资产|||
和其他长期资产收回的现金净额||814|3,550
收到其他与投资活动有关的现金|四 (63) (c)|212|270
投资活动现金流入小计||1,977|3,965
购建固定资产、无形资产|||
和其他长期资产支付的现金||15,622|24,033
投资支付的现金||979|440
投资活动现金流出小计||16,601|24,473
投资活动使用的现金流量净额||(14,624)|(20,508)
page|114
项 目|附注|2019 年|2018 年
三、筹资活动产生的现金流量|||
吸收投资收到的现金||-|10,980
其中：子公司吸收少数股东投资收到的现金||-|72
取得借款收到的现金||33,985|34,385
发行债券收到的现金||50,986|7,500
筹资活动现金流入小计||84,971|52,865
偿还债务支付的现金||106,109|46,538
分配股利、利润或偿付利息支付的现金||7,709|5,362
其中：子公司支付给少数股东的股利、利润||82|98
筹资活动现金流出小计||113,818|51,900
筹资活动(使用)/产生的现金流量净额||(28,847)|965
四、汇率变动对现金及现金等价物的影响||6|11
五、现金及现金等价物净(减少)/增加额|四 (64) (a)|(5,343)|53
加：年初现金及现金等价物余额||7,192|7,139
六、年末现金及现金等价物余额|四 (64) (b)|1,849|7,192
